over,win_probability,over_info,forecast
1.0,LSG 53.33%,DC 6/1,Live Forecast: DC 172
2.0,LSG 54.43%,DC 14/1,Live Forecast: DC 171
3.0,DC 64.08%,DC 35/1,Live Forecast: DC 188
4.0,DC 80.65%,DC 51/1,Live Forecast: DC 207
5.0,DC 79.94%,DC 56/1,Live Forecast: DC 206
6.0,DC 84.48%,DC 73/1,Live Forecast: DC 213
7.0,DC 78.48%,DC 79/1,Live Forecast: DC 204
8.0,DC 80.65%,DC 88/1,Live Forecast: DC 207
9.0,DC 78.48%,DC 97/2,Live Forecast: DC 204
10.0,DC 82%,DC 106/2,Live Forecast: DC 209
11.0,DC 76.13%,DC 111/2,Live Forecast: DC 201
12.0,DC 69.05%,DC 115/3,Live Forecast: DC 193
13.0,DC 66.11%,DC 121/3,Live Forecast: DC 190
14.0,DC 70.92%,DC 132/3,Live Forecast: DC 195
15.0,DC 63.05%,DC 136/3,Live Forecast: DC 187
16.0,DC 76.13%,DC 154/3,Live Forecast: DC 201
17.0,DC 73.61%,DC 163/4,Live Forecast: DC 198
18.0,DC 75.31%,DC 175/4,Live Forecast: DC 200
19.0,DC 83.89%,DC 196/4,Live Forecast: DC 212
20.0,DC 81.34%,DC 208/4,Live Forecast: DC 208
1.0,DC 86.65%,LSG 7/1,LSG needed 202 runs from 114 balls
2.0,DC 88.75%,LSG 12/1,LSG needed 197 runs from 108 balls
3.0,DC 90.59%,LSG 24/2,LSG needed 185 runs from 102 balls
4.0,DC 83.56%,LSG 44/3,LSG needed 165 runs from 96 balls
5.0,DC 95.76%,LSG 48/4,LSG needed 161 runs from 90 balls
6.0,DC 94.77%,LSG 59/4,LSG needed 150 runs from 84 balls
7.0,DC 94.48%,LSG 69/4,LSG needed 140 runs from 78 balls
8.0,DC 98.45%,LSG 73/5,LSG needed 136 runs from 72 balls
9.0,DC 97.71%,LSG 85/5,LSG needed 124 runs from 66 balls
10.0,DC 96.87%,LSG 97/5,LSG needed 112 runs from 60 balls
11.0,DC 97.53%,LSG 101/5,LSG needed 108 runs from 54 balls
12.0,DC 99.15%,LSG 105/6,LSG needed 104 runs from 48 balls
13.0,DC 98.92%,LSG 117/6,LSG needed 92 runs from 42 balls
14.0,DC 98.41%,LSG 128/6,LSG needed 81 runs from 36 balls
15.0,DC 99.22%,LSG 135/7,LSG needed 74 runs from 30 balls
16.0,DC 98.61%,LSG 149/7,LSG needed 60 runs from 24 balls
17.0,DC 97.28%,LSG 167/8,LSG needed 42 runs from 18 balls
18.0,DC 92.4%,LSG 180/8,LSG needed 29 runs from 12 balls
19.0,DC 97.51%,LSG 186/9,LSG needed 23 runs from 6 balls
20.0,DC 100%,LSG 189/9,DC won by 19 runs
