over,win_probability,over_info,forecast
1.0,RR 66.25%,MI 1/2,Live Forecast: MI 158
2.0,RR 61.1%,MI 13/2,Live Forecast: MI 163
3.0,RR 68.21%,MI 16/3,Live Forecast: MI 156
4.0,RR 76.16%,MI 20/4,Live Forecast: MI 147
5.0,RR 72.81%,MI 30/4,Live Forecast: MI 151
6.0,RR 51.21%,MI 46/4,Live Forecast: MI 172
7.0,MI 58.82%,MI 59/4,Live Forecast: MI 181
8.0,MI 60.99%,MI 65/4,Live Forecast: MI 183
9.0,MI 59.91%,MI 75/4,Live Forecast: MI 182
10.0,RR 58.96%,MI 77/5,Live Forecast: MI 165
11.0,RR 63.2%,MI 83/5,Live Forecast: MI 161
12.0,RR 76.16%,MI 89/6,Live Forecast: MI 147
13.0,RR 68.21%,MI 95/6,Live Forecast: MI 156
14.0,RR 84.39%,MI 97/7,Live Forecast: MI 135
15.0,RR 81.29%,MI 102/7,Live Forecast: MI 140
16.0,RR 76.95%,MI 111/7,Live Forecast: MI 146
17.0,RR 81.94%,MI 112/8,Live Forecast: MI 139
18.0,RR 85.5%,MI 114/8,Live Forecast: MI 133
19.0,RR 89.71%,MI 115/9,Live Forecast: MI 124
20.0,RR 89.3%,MI 125/9,Live Forecast: MI 125
1.0,RR 87.78%,RR 10/1,RR needed 116 runs from 114 balls
2.0,RR 89.78%,RR 17/1,RR needed 109 runs from 108 balls
3.0,RR 93.23%,RR 30/1,RR needed 96 runs from 102 balls
4.0,RR 95.49%,RR 41/1,RR needed 85 runs from 96 balls
5.0,RR 93.35%,RR 44/2,RR needed 82 runs from 90 balls
6.0,RR 91.72%,RR 46/2,RR needed 80 runs from 84 balls
7.0,RR 89.68%,RR 50/3,RR needed 76 runs from 78 balls
8.0,RR 93.05%,RR 60/3,RR needed 66 runs from 72 balls
9.0,RR 95.21%,RR 68/3,RR needed 58 runs from 66 balls
10.0,RR 96.29%,RR 73/3,RR needed 53 runs from 60 balls
11.0,RR 98%,RR 84/3,RR needed 42 runs from 54 balls
12.0,RR 98.07%,RR 87/3,RR needed 39 runs from 48 balls
13.0,RR 97.96%,RR 94/4,RR needed 32 runs from 42 balls
14.0,RR 98.63%,RR 101/4,RR needed 25 runs from 36 balls
15.0,RR 99.31%,RR 111/4,RR needed 15 runs from 30 balls
16.0,RR 100%,RR 127/4,RR won by 6 wickets (with 27 balls remaining)
