over,win_probability,over_info,forecast
1.0,PBKS 51.6%,CSK 6/0,Live Forecast: CSK 173
2.0,PBKS 52.71%,CSK 13/1,Live Forecast: CSK 172
3.0,PBKS 52.71%,CSK 22/1,Live Forecast: CSK 172
4.0,CSK 53.94%,CSK 34/1,Live Forecast: CSK 178
5.0,CSK 58.32%,CSK 41/1,Live Forecast: CSK 182
6.0,CSK 79.58%,CSK 60/1,Live Forecast: CSK 205
7.0,CSK 82.32%,CSK 69/1,Live Forecast: CSK 209
8.0,CSK 68.6%,CSK 71/3,Live Forecast: CSK 192
9.0,CSK 51.72%,CSK 76/4,Live Forecast: CSK 176
10.0,PBKS 54.91%,CSK 79/4,Live Forecast: CSK 170
11.0,CSK 50.61%,CSK 90/4,Live Forecast: CSK 175
12.0,CSK 58.32%,CSK 99/4,Live Forecast: CSK 182
13.0,CSK 51.72%,CSK 103/5,Live Forecast: CSK 176
14.0,PBKS 53.81%,CSK 109/5,Live Forecast: CSK 171
15.0,PBKS 56%,CSK 117/5,Live Forecast: CSK 169
16.0,PBKS 60.29%,CSK 122/6,Live Forecast: CSK 165
17.0,PBKS 56%,CSK 136/6,Live Forecast: CSK 169
18.0,PBKS 52.71%,CSK 149/6,Live Forecast: CSK 172
19.0,PBKS 62.37%,CSK 151/8,Live Forecast: CSK 163
20.0,PBKS 58.16%,CSK 167/9,Live Forecast: CSK 167
1.0,PBKS 55.26%,PBKS 2/0,PBKS needed 166 runs from 114 balls
2.0,CSK 63.4%,PBKS 9/2,PBKS needed 159 runs from 108 balls
3.0,CSK 69.33%,PBKS 11/2,PBKS needed 157 runs from 102 balls
4.0,CSK 70.69%,PBKS 16/2,PBKS needed 152 runs from 96 balls
5.0,CSK 55.76%,PBKS 31/2,PBKS needed 137 runs from 90 balls
6.0,PBKS 62.6%,PBKS 47/2,PBKS needed 121 runs from 84 balls
7.0,PBKS 69.29%,PBKS 56/2,PBKS needed 112 runs from 78 balls
8.0,PBKS 62.46%,PBKS 62/3,PBKS needed 106 runs from 72 balls
9.0,CSK 53.82%,PBKS 68/4,PBKS needed 100 runs from 66 balls
10.0,CSK 78.5%,PBKS 72/5,PBKS needed 96 runs from 60 balls
11.0,CSK 85.74%,PBKS 75/5,PBKS needed 93 runs from 54 balls
12.0,CSK 92.95%,PBKS 77/5,PBKS needed 91 runs from 48 balls
13.0,CSK 99.24%,PBKS 79/7,PBKS needed 89 runs from 42 balls
14.0,CSK 99.59%,PBKS 80/7,PBKS needed 88 runs from 36 balls
15.0,CSK 99.69%,PBKS 91/8,PBKS needed 77 runs from 30 balls
16.0,CSK 99.51%,PBKS 105/8,PBKS needed 63 runs from 24 balls
17.0,CSK 99.68%,PBKS 112/8,PBKS needed 56 runs from 18 balls
18.0,CSK 99.85%,PBKS 121/9,PBKS needed 47 runs from 12 balls
19.0,CSK 99.88%,PBKS 132/9,PBKS needed 36 runs from 6 balls
20.0,CSK 100%,PBKS 139/9,CSK won by 28 runs
