over,win_probability,over_info,forecast
1.0,CSK 55.12%,CSK 7/0,Live Forecast: CSK 176
2.0,CSK 52.88%,CSK 13/0,Live Forecast: CSK 174
3.0,CSK 56.23%,CSK 25/0,Live Forecast: CSK 177
4.0,SRH 50.49%,CSK 26/1,Live Forecast: CSK 171
5.0,CSK 50.64%,CSK 33/1,Live Forecast: CSK 172
6.0,CSK 62.73%,CSK 48/1,Live Forecast: CSK 183
7.0,CSK 69.74%,CSK 54/1,Live Forecast: CSK 190
8.0,CSK 79.76%,CSK 65/2,Live Forecast: CSK 202
9.0,CSK 89.74%,CSK 80/2,Live Forecast: CSK 220
10.0,CSK 80.47%,CSK 84/2,Live Forecast: CSK 203
11.0,CSK 71.6%,CSK 90/2,Live Forecast: CSK 192
12.0,CSK 78.29%,CSK 105/2,Live Forecast: CSK 200
13.0,CSK 79.76%,CSK 115/2,Live Forecast: CSK 202
14.0,CSK 72.5%,CSK 120/3,Live Forecast: CSK 193
15.0,CSK 62.73%,CSK 127/4,Live Forecast: CSK 183
16.0,CSK 55.12%,CSK 132/4,Live Forecast: CSK 176
17.0,CSK 50.64%,CSK 139/4,Live Forecast: CSK 172
18.0,CSK 55.12%,CSK 152/4,Live Forecast: CSK 176
19.0,SRH 51.61%,CSK 158/4,Live Forecast: CSK 170
20.0,SRH 57.19%,CSK 165/5,Live Forecast: CSK 165
1.0,SRH 62.8%,SRH 8/0,SRH needed 158 runs from 114 balls
2.0,SRH 83.98%,SRH 35/0,SRH needed 131 runs from 108 balls
3.0,SRH 81.91%,SRH 46/1,SRH needed 120 runs from 102 balls
4.0,SRH 87.86%,SRH 57/1,SRH needed 109 runs from 96 balls
5.0,SRH 88.64%,SRH 64/1,SRH needed 102 runs from 90 balls
6.0,SRH 93.31%,SRH 78/1,SRH needed 88 runs from 84 balls
7.0,SRH 94.46%,SRH 84/1,SRH needed 82 runs from 78 balls
8.0,SRH 94.9%,SRH 90/1,SRH needed 76 runs from 72 balls
9.0,SRH 97.18%,SRH 101/1,SRH needed 65 runs from 66 balls
10.0,SRH 96.54%,SRH 107/2,SRH needed 59 runs from 60 balls
11.0,SRH 97.01%,SRH 112/2,SRH needed 54 runs from 54 balls
12.0,SRH 97.62%,SRH 118/2,SRH needed 48 runs from 48 balls
13.0,SRH 98.22%,SRH 123/2,SRH needed 43 runs from 42 balls
14.0,SRH 98.15%,SRH 132/3,SRH needed 34 runs from 36 balls
15.0,SRH 97.65%,SRH 135/3,SRH needed 31 runs from 30 balls
16.0,SRH 98.02%,SRH 143/4,SRH needed 23 runs from 24 balls
17.0,SRH 98.84%,SRH 151/4,SRH needed 15 runs from 18 balls
18.0,SRH 99.41%,SRH 160/4,SRH needed 6 runs from 12 balls
19.0,SRH 100%,SRH 166/4,SRH won by 6 wickets (with 11 balls remaining)
