over,win_probability,over_info,forecast
1.0,CSK 50.95%,DC 7/0,Live Forecast: DC 170
2.0,CSK 58.74%,DC 10/0,Live Forecast: DC 163
3.0,CSK 56.54%,DC 19/0,Live Forecast: DC 165
4.0,CSK 57.64%,DC 24/0,Live Forecast: DC 164
5.0,DC 65.39%,DC 42/0,Live Forecast: DC 185
6.0,DC 82.82%,DC 62/0,Live Forecast: DC 206
7.0,DC 90.32%,DC 75/0,Live Forecast: DC 221
8.0,DC 87.76%,DC 80/0,Live Forecast: DC 215
9.0,DC 80.84%,DC 91/0,Live Forecast: DC 203
10.0,DC 69.33%,DC 95/1,Live Forecast: DC 189
11.0,DC 69.33%,DC 104/2,Live Forecast: DC 189
12.0,DC 61.22%,DC 111/2,Live Forecast: DC 181
13.0,DC 72.11%,DC 121/2,Live Forecast: DC 192
14.0,DC 65.39%,DC 129/2,Live Forecast: DC 185
15.0,DC 64.37%,DC 134/4,Live Forecast: DC 184
16.0,DC 59.07%,DC 143/4,Live Forecast: DC 179
17.0,DC 54.66%,DC 148/4,Live Forecast: DC 175
18.0,DC 60.15%,DC 162/4,Live Forecast: DC 180
19.0,DC 70.27%,DC 179/5,Live Forecast: DC 190
20.0,DC 71.2%,DC 191/5,Live Forecast: DC 191
1.0,DC 80.81%,CSK 3/1,CSK needed 189 runs from 114 balls
2.0,DC 84.93%,CSK 6/1,CSK needed 186 runs from 108 balls
3.0,DC 92.14%,CSK 7/2,CSK needed 185 runs from 102 balls
4.0,DC 90.42%,CSK 17/2,CSK needed 175 runs from 96 balls
5.0,DC 90.96%,CSK 23/2,CSK needed 169 runs from 90 balls
6.0,DC 89.74%,CSK 32/2,CSK needed 160 runs from 84 balls
7.0,DC 88.95%,CSK 38/2,CSK needed 154 runs from 78 balls
8.0,DC 86.79%,CSK 47/2,CSK needed 145 runs from 72 balls
9.0,DC 83.21%,CSK 58/2,CSK needed 134 runs from 66 balls
10.0,DC 59.92%,CSK 75/2,CSK needed 117 runs from 60 balls
11.0,DC 80.36%,CSK 78/3,CSK needed 114 runs from 54 balls
12.0,DC 76.59%,CSK 92/3,CSK needed 100 runs from 48 balls
13.0,DC 86.7%,CSK 101/3,CSK needed 91 runs from 42 balls
14.0,DC 98.19%,CSK 103/5,CSK needed 89 runs from 36 balls
15.0,DC 98.37%,CSK 113/5,CSK needed 79 runs from 30 balls
16.0,DC 99.19%,CSK 120/5,CSK needed 72 runs from 24 balls
17.0,DC 99.42%,CSK 134/6,CSK needed 58 runs from 18 balls
18.0,DC 99.25%,CSK 146/6,CSK needed 46 runs from 12 balls
19.0,DC 99.86%,CSK 151/6,CSK needed 41 runs from 6 balls
20.0,DC 100%,CSK 171/6,DC won by 20 runs
