over,win_probability,over_info,forecast
1.0,SRH 52.63%,KKR 3/0,Live Forecast: KKR 169
2.0,KKR 64.87%,KKR 23/1,Live Forecast: KKR 185
3.0,KKR 58.51%,KKR 27/1,Live Forecast: KKR 179
4.0,KKR 57.42%,KKR 32/3,Live Forecast: KKR 178
5.0,KKR 51.86%,KKR 39/3,Live Forecast: KKR 173
6.0,SRH 55.96%,KKR 43/3,Live Forecast: KKR 166
7.0,SRH 57.07%,KKR 49/3,Live Forecast: KKR 165
8.0,SRH 58.16%,KKR 53/4,Live Forecast: KKR 164
9.0,SRH 51.51%,KKR 66/4,Live Forecast: KKR 170
10.0,KKR 67.87%,KKR 77/4,Live Forecast: KKR 188
11.0,KKR 80.48%,KKR 91/4,Live Forecast: KKR 203
12.0,KKR 82.49%,KKR 105/4,Live Forecast: KKR 206
13.0,KKR 74.28%,KKR 113/5,Live Forecast: KKR 195
14.0,KKR 64.87%,KKR 119/6,Live Forecast: KKR 185
15.0,KKR 54.1%,KKR 123/6,Live Forecast: KKR 175
16.0,KKR 64.87%,KKR 141/6,Live Forecast: KKR 185
17.0,KKR 72.54%,KKR 159/6,Live Forecast: KKR 193
18.0,KKR 76.75%,KKR 174/6,Live Forecast: KKR 198
19.0,KKR 87.03%,KKR 200/6,Live Forecast: KKR 214
20.0,KKR 83.73%,KKR 208/7,Live Forecast: KKR 208
1.0,KKR 80.63%,SRH 12/0,SRH needed 197 runs from 114 balls
2.0,KKR 82.97%,SRH 17/0,SRH needed 192 runs from 108 balls
3.0,KKR 81.48%,SRH 27/0,SRH needed 182 runs from 102 balls
4.0,KKR 78.24%,SRH 40/0,SRH needed 169 runs from 96 balls
5.0,KKR 59.97%,SRH 58/0,SRH needed 151 runs from 90 balls
6.0,KKR 58.84%,SRH 65/1,SRH needed 144 runs from 84 balls
7.0,KKR 72.48%,SRH 67/1,SRH needed 142 runs from 78 balls
8.0,KKR 84.91%,SRH 77/2,SRH needed 132 runs from 72 balls
9.0,KKR 85.98%,SRH 85/2,SRH needed 124 runs from 66 balls
10.0,KKR 70.89%,SRH 99/2,SRH needed 110 runs from 60 balls
11.0,KKR 74.65%,SRH 105/2,SRH needed 104 runs from 54 balls
12.0,KKR 91.06%,SRH 108/3,SRH needed 101 runs from 48 balls
13.0,KKR 97.2%,SRH 111/4,SRH needed 98 runs from 42 balls
14.0,KKR 98.54%,SRH 115/4,SRH needed 94 runs from 36 balls
15.0,KKR 97.68%,SRH 128/4,SRH needed 81 runs from 30 balls
16.0,KKR 99.15%,SRH 133/4,SRH needed 76 runs from 24 balls
17.0,KKR 99.27%,SRH 149/5,SRH needed 60 runs from 18 balls
18.0,KKR 95.52%,SRH 170/5,SRH needed 39 runs from 12 balls
19.0,SRH 81.95%,SRH 196/5,SRH needed 13 runs from 6 balls
20.0,KKR 100%,SRH 204/7,KKR won by 4 runs
