over,win_probability,over_info,forecast
1.0,RR 57.49%,RCB 8/0,Live Forecast: RCB 168
2.0,RR 50.86%,RCB 21/0,Live Forecast: RCB 174
3.0,RCB 50.26%,RCB 29/0,Live Forecast: RCB 175
4.0,RCB 65.47%,RCB 42/0,Live Forecast: RCB 189
5.0,RCB 53.61%,RCB 45/0,Live Forecast: RCB 178
6.0,RCB 51.38%,RCB 53/0,Live Forecast: RCB 176
7.0,RR 50.86%,RCB 60/0,Live Forecast: RCB 174
8.0,RR 56.4%,RCB 64/0,Live Forecast: RCB 169
9.0,RCB 63.4%,RCB 79/0,Live Forecast: RCB 187
10.0,RCB 69.42%,RCB 88/0,Live Forecast: RCB 193
11.0,RCB 79.6%,RCB 98/0,Live Forecast: RCB 205
12.0,RCB 75.69%,RCB 107/0,Live Forecast: RCB 200
13.0,RCB 71.3%,RCB 115/0,Live Forecast: RCB 195
14.0,RCB 69.42%,RCB 125/1,Live Forecast: RCB 193
15.0,RCB 56.94%,RCB 129/2,Live Forecast: RCB 181
16.0,RCB 63.4%,RCB 144/2,Live Forecast: RCB 187
17.0,RCB 62.35%,RCB 154/2,Live Forecast: RCB 186
18.0,RCB 63.4%,RCB 165/3,Live Forecast: RCB 187
19.0,RCB 55.84%,RCB 169/3,Live Forecast: RCB 180
20.0,RCB 59.13%,RCB 183/3,Live Forecast: RCB 183
1.0,RCB 73.37%,RR 1/1,RR needed 183 runs from 114 balls
2.0,RCB 73.44%,RR 9/1,RR needed 175 runs from 108 balls
3.0,RCB 73.56%,RR 16/1,RR needed 168 runs from 102 balls
4.0,RCB 67.79%,RR 25/1,RR needed 159 runs from 96 balls
5.0,RCB 63.3%,RR 34/1,RR needed 150 runs from 90 balls
6.0,RR 59.47%,RR 54/1,RR needed 130 runs from 84 balls
7.0,RR 69.22%,RR 63/1,RR needed 121 runs from 78 balls
8.0,RR 80.58%,RR 77/1,RR needed 107 runs from 72 balls
9.0,RR 80.78%,RR 84/1,RR needed 100 runs from 66 balls
10.0,RR 85.62%,RR 95/1,RR needed 89 runs from 60 balls
11.0,RR 90.73%,RR 109/1,RR needed 75 runs from 54 balls
12.0,RR 96.81%,RR 124/1,RR needed 60 runs from 48 balls
13.0,RR 98.54%,RR 136/1,RR needed 48 runs from 42 balls
14.0,RR 99.04%,RR 145/1,RR needed 39 runs from 36 balls
15.0,RR 98.29%,RR 152/2,RR needed 32 runs from 30 balls
16.0,RR 98.62%,RR 160/3,RR needed 24 runs from 24 balls
17.0,RR 98.97%,RR 170/4,RR needed 14 runs from 18 balls
18.0,RR 98.94%,RR 175/4,RR needed 9 runs from 12 balls
19.0,RR 99.38%,RR 183/4,RR needed 1 runs from 6 balls
20.0,RR 100%,RR 189/4,RR won by 6 wickets (with 5 balls remaining)
