over,win_probability,over_info,forecast
1.0,SRH 50.17%,SRH 6/0,Live Forecast: SRH 178
2.0,RR 50.93%,SRH 14/0,Live Forecast: SRH 177
3.0,RR 53.1%,SRH 21/0,Live Forecast: SRH 175
4.0,RR 59.5%,SRH 25/0,Live Forecast: SRH 169
5.0,RR 60.53%,SRH 35/1,Live Forecast: SRH 168
6.0,RR 67.43%,SRH 37/2,Live Forecast: SRH 161
7.0,RR 64.56%,SRH 44/2,Live Forecast: SRH 164
8.0,RR 71.06%,SRH 48/2,Live Forecast: SRH 157
9.0,SRH 51.26%,SRH 66/2,Live Forecast: SRH 179
10.0,SRH 70%,SRH 75/2,Live Forecast: SRH 197
11.0,SRH 70.93%,SRH 84/2,Live Forecast: SRH 198
12.0,SRH 63.09%,SRH 92/2,Live Forecast: SRH 190
13.0,SRH 71.84%,SRH 113/2,Live Forecast: SRH 199
14.0,SRH 70.93%,SRH 123/2,Live Forecast: SRH 198
15.0,SRH 61%,SRH 131/3,Live Forecast: SRH 188
16.0,SRH 64.11%,SRH 146/3,Live Forecast: SRH 191
17.0,SRH 72.74%,SRH 162/3,Live Forecast: SRH 200
18.0,SRH 71.84%,SRH 174/3,Live Forecast: SRH 199
19.0,SRH 71.84%,SRH 186/3,Live Forecast: SRH 199
20.0,SRH 73.62%,SRH 201/3,Live Forecast: SRH 201
1.0,SRH 86.84%,RR 1/2,RR needed 201 runs from 114 balls
2.0,SRH 89.56%,RR 6/2,RR needed 196 runs from 108 balls
3.0,SRH 86.26%,RR 21/2,RR needed 181 runs from 102 balls
4.0,SRH 78.85%,RR 35/2,RR needed 167 runs from 96 balls
5.0,SRH 64.81%,RR 50/2,RR needed 152 runs from 90 balls
6.0,SRH 58.11%,RR 60/2,RR needed 142 runs from 84 balls
7.0,SRH 55.51%,RR 69/2,RR needed 133 runs from 78 balls
8.0,SRH 55.35%,RR 81/2,RR needed 121 runs from 72 balls
9.0,RR 53.57%,RR 90/2,RR needed 112 runs from 66 balls
10.0,RR 58.37%,RR 100/2,RR needed 102 runs from 60 balls
11.0,RR 65.89%,RR 111/2,RR needed 91 runs from 54 balls
12.0,RR 62.55%,RR 118/2,RR needed 84 runs from 48 balls
13.0,RR 78.37%,RR 132/2,RR needed 70 runs from 42 balls
14.0,RR 77.48%,RR 143/3,RR needed 59 runs from 36 balls
15.0,RR 89.98%,RR 157/3,RR needed 45 runs from 30 balls
16.0,RR 77.93%,RR 160/4,RR needed 42 runs from 24 balls
17.0,RR 91.99%,RR 175/4,RR needed 27 runs from 18 balls
18.0,RR 86.76%,RR 182/5,RR needed 20 runs from 12 balls
19.0,RR 70.33%,RR 189/6,RR needed 13 runs from 6 balls
20.0,SRH 100%,RR 200/7,SRH won by 1 run
