over,win_probability,over_info,forecast,innings
1.0,PBKS 51.6%,Over 1 • CSK 6/0,Live Forecast: CSK 173,1
2.0,PBKS 52.71%,Over 2 • CSK 13/1,Live Forecast: CSK 172,2
3.0,PBKS 52.71%,Over 3 • CSK 22/1,Live Forecast: CSK 172,2
4.0,CSK 53.94%,Over 4 • CSK 34/1,Live Forecast: CSK 178,2
5.0,CSK 58.32%,Over 5 • CSK 41/1,Live Forecast: CSK 182,2
6.0,CSK 79.58%,Over 6 • CSK 60/1,Live Forecast: CSK 205,2
7.0,CSK 82.32%,Over 7 • CSK 69/1,Live Forecast: CSK 209,2
8.0,CSK 68.6%,Over 8 • CSK 71/3,Live Forecast: CSK 192,2
9.0,CSK 51.72%,Over 9 • CSK 76/4,Live Forecast: CSK 176,2
10.0,PBKS 54.91%,Over 10 • CSK 79/4,Live Forecast: CSK 170,2
11.0,CSK 50.61%,Over 11 • CSK 90/4,Live Forecast: CSK 175,2
12.0,CSK 58.32%,Over 12 • CSK 99/4,Live Forecast: CSK 182,2
13.0,CSK 51.72%,Over 13 • CSK 103/5,Live Forecast: CSK 176,2
14.0,PBKS 53.81%,Over 14 • CSK 109/5,Live Forecast: CSK 171,2
15.0,PBKS 56%,Over 15 • CSK 117/5,Live Forecast: CSK 169,2
16.0,PBKS 60.29%,Over 16 • CSK 122/6,Live Forecast: CSK 165,2
17.0,PBKS 56%,Over 17 • CSK 136/6,Live Forecast: CSK 169,2
18.0,PBKS 52.71%,Over 18 • CSK 149/6,Live Forecast: CSK 172,2
19.0,PBKS 62.37%,Over 19 • CSK 151/8,Live Forecast: CSK 163,2
20.0,PBKS 58.16%,Over 20 • CSK 167/9,Live Forecast: CSK 167,2
1.0,PBKS 55.26%,Over 1 • PBKS 2/0,PBKS needed 166 runs from 114 balls,2
2.0,CSK 63.4%,Over 2 • PBKS 9/2,PBKS needed 159 runs from 108 balls,2
3.0,CSK 69.33%,Over 3 • PBKS 11/2,PBKS needed 157 runs from 102 balls,2
4.0,CSK 70.69%,Over 4 • PBKS 16/2,PBKS needed 152 runs from 96 balls,2
5.0,CSK 55.76%,Over 5 • PBKS 31/2,PBKS needed 137 runs from 90 balls,2
6.0,PBKS 62.6%,Over 6 • PBKS 47/2,PBKS needed 121 runs from 84 balls,2
7.0,PBKS 69.29%,Over 7 • PBKS 56/2,PBKS needed 112 runs from 78 balls,2
8.0,PBKS 62.46%,Over 8 • PBKS 62/3,PBKS needed 106 runs from 72 balls,2
9.0,CSK 53.82%,Over 9 • PBKS 68/4,PBKS needed 100 runs from 66 balls,2
10.0,CSK 78.5%,Over 10 • PBKS 72/5,PBKS needed 96 runs from 60 balls,2
11.0,CSK 85.74%,Over 11 • PBKS 75/5,PBKS needed 93 runs from 54 balls,2
12.0,CSK 92.95%,Over 12 • PBKS 77/5,PBKS needed 91 runs from 48 balls,2
13.0,CSK 99.24%,Over 13 • PBKS 79/7,PBKS needed 89 runs from 42 balls,2
14.0,CSK 99.59%,Over 14 • PBKS 80/7,PBKS needed 88 runs from 36 balls,2
15.0,CSK 99.69%,Over 15 • PBKS 91/8,PBKS needed 77 runs from 30 balls,2
16.0,CSK 99.51%,Over 16 • PBKS 105/8,PBKS needed 63 runs from 24 balls,2
17.0,CSK 99.68%,Over 17 • PBKS 112/8,PBKS needed 56 runs from 18 balls,2
18.0,CSK 99.85%,Over 18 • PBKS 121/9,PBKS needed 47 runs from 12 balls,2
19.0,CSK 99.88%,Over 19 • PBKS 132/9,PBKS needed 36 runs from 6 balls,2
20.0,CSK 100%,Over 20 • PBKS 139/9,CSK won by 28 runs,1
