over,win_probability,over_info,forecast,innings
1.0,DC 54.55%,Over 1 • KKR 7/0,Live Forecast: KKR 169,1
2.0,DC 52.32%,Over 2 • KKR 17/0,Live Forecast: KKR 171,2
3.0,KKR 58.84%,Over 3 • KKR 32/0,Live Forecast: KKR 181,2
4.0,KKR 86.31%,Over 4 • KKR 58/0,Live Forecast: KKR 214,2
5.0,KKR 88.74%,Over 5 • KKR 70/1,Live Forecast: KKR 219,2
6.0,KKR 94.81%,Over 6 • KKR 88/1,Live Forecast: KKR 238,2
7.0,KKR 91.14%,Over 7 • KKR 93/1,Live Forecast: KKR 225,2
8.0,KKR 95.02%,Over 8 • KKR 112/1,Live Forecast: KKR 239,2
9.0,KKR 96.13%,Over 9 • KKR 126/1,Live Forecast: KKR 245,2
10.0,KKR 97.57%,Over 10 • KKR 135/1,Live Forecast: KKR 256,2
11.0,KKR 97.36%,Over 11 • KKR 150/1,Live Forecast: KKR 254,2
12.0,KKR 97.67%,Over 12 • KKR 162/1,Live Forecast: KKR 257,2
13.0,KKR 97.24%,Over 13 • KKR 171/2,Live Forecast: KKR 253,2
14.0,KKR 96.29%,Over 14 • KKR 181/3,Live Forecast: KKR 246,2
15.0,KKR 97%,Over 15 • KKR 195/3,Live Forecast: KKR 251,2
16.0,KKR 96.87%,Over 16 • KKR 205/3,Live Forecast: KKR 250,2
17.0,KKR 98.04%,Over 17 • KKR 224/3,Live Forecast: KKR 261,2
18.0,KKR 98.2%,Over 18 • KKR 239/4,Live Forecast: KKR 263,2
19.0,KKR 99.01%,Over 19 • KKR 264/5,Live Forecast: KKR 277,2
20.0,KKR 98.77%,Over 20 • KKR 272/7,Live Forecast: KKR 272,2
1.0,KKR 98.71%,Over 1 • DC 11/0,DC needed 262 runs from 114 balls,2
2.0,KKR 99.22%,Over 2 • DC 21/1,DC needed 252 runs from 108 balls,2
3.0,KKR 99.65%,Over 3 • DC 26/2,DC needed 247 runs from 102 balls,2
4.0,KKR 99.86%,Over 4 • DC 27/3,DC needed 246 runs from 96 balls,2
5.0,KKR 99.94%,Over 5 • DC 40/4,DC needed 233 runs from 90 balls,2
6.0,KKR 99.94%,Over 6 • DC 51/4,DC needed 222 runs from 84 balls,2
7.0,KKR 99.91%,Over 7 • DC 65/4,DC needed 208 runs from 78 balls,2
8.0,KKR 99.94%,Over 8 • DC 70/4,DC needed 203 runs from 72 balls,2
9.0,KKR 99.94%,Over 9 • DC 83/4,DC needed 190 runs from 66 balls,2
10.0,KKR 99.98%,Over 10 • DC 87/4,DC needed 186 runs from 60 balls,2
11.0,KKR 99.98%,Over 11 • DC 97/4,DC needed 176 runs from 54 balls,2
12.0,KKR 99.93%,Over 12 • DC 125/4,DC needed 148 runs from 48 balls,2
13.0,KKR 99.99%,Over 13 • DC 129/6,DC needed 144 runs from 42 balls,2
14.0,KKR 99.99%,Over 14 • DC 148/6,DC needed 125 runs from 36 balls,2
15.0,KKR 99.99%,Over 15 • DC 159/7,DC needed 114 runs from 30 balls,2
16.0,KKR 99.99%,Over 16 • DC 161/8,DC needed 112 runs from 24 balls,2
17.0,KKR 99.99%,Over 17 • DC 166/9,DC needed 107 runs from 18 balls,2
18.0,KKR 100%,Over 18 • DC 166/10,KKR won by 106 runs,1
