over,win_probability,over_info,forecast
1.0,LSG 51.51%,MI 2/0,Live Forecast: MI 172
2.0,LSG 57%,MI 8/1,Live Forecast: MI 167
3.0,LSG 55.91%,MI 20/2,Live Forecast: MI 168
4.0,LSG 60.21%,MI 22/2,Live Forecast: MI 164
5.0,LSG 62.3%,MI 27/2,Live Forecast: MI 162
6.0,LSG 82.44%,MI 28/4,Live Forecast: MI 138
7.0,LSG 80.49%,MI 36/4,Live Forecast: MI 141
8.0,LSG 79.81%,MI 41/4,Live Forecast: MI 142
9.0,LSG 71.92%,MI 49/4,Live Forecast: MI 152
10.0,LSG 70.12%,MI 57/4,Live Forecast: MI 154
11.0,LSG 70.12%,MI 65/4,Live Forecast: MI 154
12.0,LSG 76.1%,MI 68/4,Live Forecast: MI 147
13.0,LSG 80.49%,MI 73/4,Live Forecast: MI 141
14.0,LSG 81.16%,MI 80/5,Live Forecast: MI 140
15.0,LSG 74.48%,MI 96/5,Live Forecast: MI 149
16.0,LSG 73.65%,MI 106/5,Live Forecast: MI 150
17.0,LSG 77.64%,MI 112/5,Live Forecast: MI 145
18.0,LSG 76.88%,MI 123/6,Live Forecast: MI 146
19.0,LSG 82.44%,MI 127/7,Live Forecast: MI 138
20.0,LSG 78.38%,MI 144/7,Live Forecast: MI 144
1.0,LSG 68.07%,LSG 1/1,LSG needed 144 runs from 114 balls
2.0,LSG 69.73%,LSG 8/1,LSG needed 137 runs from 108 balls
3.0,LSG 65.78%,LSG 11/1,LSG needed 134 runs from 102 balls
4.0,LSG 78.55%,LSG 26/1,LSG needed 119 runs from 96 balls
5.0,LSG 91.41%,LSG 46/1,LSG needed 99 runs from 90 balls
6.0,LSG 92.5%,LSG 52/1,LSG needed 93 runs from 84 balls
7.0,LSG 93.63%,LSG 57/1,LSG needed 88 runs from 78 balls
8.0,LSG 86.63%,LSG 61/2,LSG needed 84 runs from 72 balls
9.0,LSG 89.07%,LSG 71/2,LSG needed 74 runs from 66 balls
10.0,LSG 92.71%,LSG 79/2,LSG needed 66 runs from 60 balls
11.0,LSG 95.47%,LSG 88/2,LSG needed 57 runs from 54 balls
12.0,LSG 94.91%,LSG 91/2,LSG needed 54 runs from 48 balls
13.0,LSG 96.39%,LSG 99/2,LSG needed 46 runs from 42 balls
14.0,LSG 93.17%,LSG 103/3,LSG needed 42 runs from 36 balls
15.0,LSG 95.91%,LSG 116/4,LSG needed 29 runs from 30 balls
16.0,LSG 97.11%,LSG 122/4,LSG needed 23 runs from 24 balls
17.0,LSG 91.96%,LSG 123/4,LSG needed 22 runs from 18 balls
18.0,LSG 95.6%,LSG 132/5,LSG needed 13 runs from 12 balls
19.0,LSG 97.83%,LSG 142/6,LSG needed 3 runs from 6 balls
20.0,LSG 100%,LSG 145/6,LSG won by 4 wickets (with 4 balls remaining)
