over,win_probability,over_info,forecast,innings
1.0,SRH 52.63%,Over 1 • KKR 3/0,Live Forecast: KKR 169,1
2.0,KKR 64.87%,Over 2 • KKR 23/1,Live Forecast: KKR 185,2
3.0,KKR 58.51%,Over 3 • KKR 27/1,Live Forecast: KKR 179,2
4.0,KKR 57.42%,Over 4 • KKR 32/3,Live Forecast: KKR 178,2
5.0,KKR 51.86%,Over 5 • KKR 39/3,Live Forecast: KKR 173,2
6.0,SRH 55.96%,Over 6 • KKR 43/3,Live Forecast: KKR 166,2
7.0,SRH 57.07%,Over 7 • KKR 49/3,Live Forecast: KKR 165,2
8.0,SRH 58.16%,Over 8 • KKR 53/4,Live Forecast: KKR 164,2
9.0,SRH 51.51%,Over 9 • KKR 66/4,Live Forecast: KKR 170,2
10.0,KKR 67.87%,Over 10 • KKR 77/4,Live Forecast: KKR 188,2
11.0,KKR 80.48%,Over 11 • KKR 91/4,Live Forecast: KKR 203,2
12.0,KKR 82.49%,Over 12 • KKR 105/4,Live Forecast: KKR 206,2
13.0,KKR 74.28%,Over 13 • KKR 113/5,Live Forecast: KKR 195,2
14.0,KKR 64.87%,Over 14 • KKR 119/6,Live Forecast: KKR 185,2
15.0,KKR 54.1%,Over 15 • KKR 123/6,Live Forecast: KKR 175,2
16.0,KKR 64.87%,Over 16 • KKR 141/6,Live Forecast: KKR 185,2
17.0,KKR 72.54%,Over 17 • KKR 159/6,Live Forecast: KKR 193,2
18.0,KKR 76.75%,Over 18 • KKR 174/6,Live Forecast: KKR 198,2
19.0,KKR 87.03%,Over 19 • KKR 200/6,Live Forecast: KKR 214,2
20.0,KKR 83.73%,Over 20 • KKR 208/7,Live Forecast: KKR 208,2
1.0,KKR 80.63%,Over 1 • SRH 12/0,SRH needed 197 runs from 114 balls,2
2.0,KKR 82.97%,Over 2 • SRH 17/0,SRH needed 192 runs from 108 balls,2
3.0,KKR 81.48%,Over 3 • SRH 27/0,SRH needed 182 runs from 102 balls,2
4.0,KKR 78.24%,Over 4 • SRH 40/0,SRH needed 169 runs from 96 balls,2
5.0,KKR 59.97%,Over 5 • SRH 58/0,SRH needed 151 runs from 90 balls,2
6.0,KKR 58.84%,Over 6 • SRH 65/1,SRH needed 144 runs from 84 balls,2
7.0,KKR 72.48%,Over 7 • SRH 67/1,SRH needed 142 runs from 78 balls,2
8.0,KKR 84.91%,Over 8 • SRH 77/2,SRH needed 132 runs from 72 balls,2
9.0,KKR 85.98%,Over 9 • SRH 85/2,SRH needed 124 runs from 66 balls,2
10.0,KKR 70.89%,Over 10 • SRH 99/2,SRH needed 110 runs from 60 balls,2
11.0,KKR 74.65%,Over 11 • SRH 105/2,SRH needed 104 runs from 54 balls,2
12.0,KKR 91.06%,Over 12 • SRH 108/3,SRH needed 101 runs from 48 balls,2
13.0,KKR 97.2%,Over 13 • SRH 111/4,SRH needed 98 runs from 42 balls,2
14.0,KKR 98.54%,Over 14 • SRH 115/4,SRH needed 94 runs from 36 balls,2
15.0,KKR 97.68%,Over 15 • SRH 128/4,SRH needed 81 runs from 30 balls,2
16.0,KKR 99.15%,Over 16 • SRH 133/4,SRH needed 76 runs from 24 balls,2
17.0,KKR 99.27%,Over 17 • SRH 149/5,SRH needed 60 runs from 18 balls,2
18.0,KKR 95.52%,Over 18 • SRH 170/5,SRH needed 39 runs from 12 balls,2
19.0,SRH 81.95%,Over 19 • SRH 196/5,SRH needed 13 runs from 6 balls,2
20.0,KKR 100%,Over 20 • SRH 204/7,KKR won by 4 runs,1
