over,win_probability,over_info,forecast,innings
1.0,CSK 55.12%,Over 1 • CSK 7/0,Live Forecast: CSK 176,1
2.0,CSK 52.88%,Over 2 • CSK 13/0,Live Forecast: CSK 174,2
3.0,CSK 56.23%,Over 3 • CSK 25/0,Live Forecast: CSK 177,2
4.0,SRH 50.49%,Over 4 • CSK 26/1,Live Forecast: CSK 171,2
5.0,CSK 50.64%,Over 5 • CSK 33/1,Live Forecast: CSK 172,2
6.0,CSK 62.73%,Over 6 • CSK 48/1,Live Forecast: CSK 183,2
7.0,CSK 69.74%,Over 7 • CSK 54/1,Live Forecast: CSK 190,2
8.0,CSK 79.76%,Over 8 • CSK 65/2,Live Forecast: CSK 202,2
9.0,CSK 89.74%,Over 9 • CSK 80/2,Live Forecast: CSK 220,2
10.0,CSK 80.47%,Over 10 • CSK 84/2,Live Forecast: CSK 203,2
11.0,CSK 71.6%,Over 11 • CSK 90/2,Live Forecast: CSK 192,2
12.0,CSK 78.29%,Over 12 • CSK 105/2,Live Forecast: CSK 200,2
13.0,CSK 79.76%,Over 13 • CSK 115/2,Live Forecast: CSK 202,2
14.0,CSK 72.5%,Over 14 • CSK 120/3,Live Forecast: CSK 193,2
15.0,CSK 62.73%,Over 15 • CSK 127/4,Live Forecast: CSK 183,2
16.0,CSK 55.12%,Over 16 • CSK 132/4,Live Forecast: CSK 176,2
17.0,CSK 50.64%,Over 17 • CSK 139/4,Live Forecast: CSK 172,2
18.0,CSK 55.12%,Over 18 • CSK 152/4,Live Forecast: CSK 176,2
19.0,SRH 51.61%,Over 19 • CSK 158/4,Live Forecast: CSK 170,2
20.0,SRH 57.19%,Over 20 • CSK 165/5,Live Forecast: CSK 165,2
1.0,SRH 62.8%,Over 1 • SRH 8/0,SRH needed 158 runs from 114 balls,2
2.0,SRH 83.98%,Over 2 • SRH 35/0,SRH needed 131 runs from 108 balls,2
3.0,SRH 81.91%,Over 3 • SRH 46/1,SRH needed 120 runs from 102 balls,2
4.0,SRH 87.86%,Over 4 • SRH 57/1,SRH needed 109 runs from 96 balls,2
5.0,SRH 88.64%,Over 5 • SRH 64/1,SRH needed 102 runs from 90 balls,2
6.0,SRH 93.31%,Over 6 • SRH 78/1,SRH needed 88 runs from 84 balls,2
7.0,SRH 94.46%,Over 7 • SRH 84/1,SRH needed 82 runs from 78 balls,2
8.0,SRH 94.9%,Over 8 • SRH 90/1,SRH needed 76 runs from 72 balls,2
9.0,SRH 97.18%,Over 9 • SRH 101/1,SRH needed 65 runs from 66 balls,2
10.0,SRH 96.54%,Over 10 • SRH 107/2,SRH needed 59 runs from 60 balls,2
11.0,SRH 97.01%,Over 11 • SRH 112/2,SRH needed 54 runs from 54 balls,2
12.0,SRH 97.62%,Over 12 • SRH 118/2,SRH needed 48 runs from 48 balls,2
13.0,SRH 98.22%,Over 13 • SRH 123/2,SRH needed 43 runs from 42 balls,2
14.0,SRH 98.15%,Over 14 • SRH 132/3,SRH needed 34 runs from 36 balls,2
15.0,SRH 97.65%,Over 15 • SRH 135/3,SRH needed 31 runs from 30 balls,2
16.0,SRH 98.02%,Over 16 • SRH 143/4,SRH needed 23 runs from 24 balls,2
17.0,SRH 98.84%,Over 17 • SRH 151/4,SRH needed 15 runs from 18 balls,2
18.0,SRH 99.41%,Over 18 • SRH 160/4,SRH needed 6 runs from 12 balls,2
19.0,SRH 100%,Over 19 • SRH 166/4,SRH won by 6 wickets (with 11 balls remaining),1
