over,win_probability,over_info,forecast
1.0,DC 53.32%,Over 1 • GT 6/0,Live Forecast: GT 168
2.0,DC 59.91%,Over 2 • GT 12/1,Live Forecast: GT 162
3.0,DC 55.54%,Over 3 • GT 23/1,Live Forecast: GT 166
4.0,DC 52.21%,Over 4 • GT 28/2,Live Forecast: GT 169
5.0,DC 75.29%,Over 5 • GT 30/4,Live Forecast: GT 146
6.0,DC 92.21%,Over 6 • GT 30/4,Live Forecast: GT 115
7.0,DC 91.9%,Over 7 • GT 39/4,Live Forecast: GT 116
8.0,DC 91.9%,Over 8 • GT 43/4,Live Forecast: GT 116
9.0,DC 95.21%,Over 9 • GT 54/6,Live Forecast: GT 103
10.0,DC 93.63%,Over 10 • GT 61/6,Live Forecast: GT 110
11.0,DC 92.21%,Over 11 • GT 65/6,Live Forecast: GT 115
12.0,DC 95.58%,Over 12 • GT 68/7,Live Forecast: GT 101
13.0,DC 95.01%,Over 13 • GT 71/7,Live Forecast: GT 104
14.0,DC 94.13%,Over 14 • GT 75/7,Live Forecast: GT 108
15.0,DC 94.8%,Over 15 • GT 78/8,Live Forecast: GT 105
16.0,DC 94.36%,Over 16 • GT 81/8,Live Forecast: GT 107
17.0,DC 91.9%,Over 17 • GT 88/8,Live Forecast: GT 116
1.0,DC 98.43%,Over 1 • DC 14/0,DC needed 76 runs from 114 balls
2.0,DC 98.52%,Over 2 • DC 25/1,DC needed 65 runs from 108 balls
3.0,DC 98.08%,Over 3 • DC 31/2,DC needed 59 runs from 102 balls
4.0,DC 98.85%,Over 4 • DC 42/2,DC needed 48 runs from 96 balls
5.0,DC 99.53%,Over 5 • DC 65/3,DC needed 25 runs from 90 balls
6.0,DC 99.32%,Over 6 • DC 67/4,DC needed 23 runs from 84 balls
7.0,DC 99.63%,Over 7 • DC 74/4,DC needed 16 runs from 78 balls
8.0,DC 99.79%,Over 8 • DC 84/4,DC needed 6 runs from 72 balls
9.0,DC 100%,Over 9 • DC 92/4,DC won by 6 wickets (with 67 balls remaining)
