over,win_probability,over_info,forecast
1.0,DC 53.42%,Over 1 • RR 4/0,Live Forecast: RR 165
2.0,DC 60.03%,Over 2 • RR 9/1,Live Forecast: RR 159
3.0,DC 68.29%,Over 3 • RR 12/1,Live Forecast: RR 151
4.0,DC 53.42%,Over 4 • RR 26/1,Live Forecast: RR 165
5.0,DC 57.86%,Over 5 • RR 29/1,Live Forecast: RR 161
6.0,DC 66.31%,Over 6 • RR 31/2,Live Forecast: RR 153
7.0,DC 78.69%,Over 7 • RR 35/2,Live Forecast: RR 139
8.0,DC 81.54%,Over 8 • RR 38/3,Live Forecast: RR 135
9.0,DC 78.69%,Over 9 • RR 46/3,Live Forecast: RR 139
10.0,DC 63.23%,Over 10 • RR 58/3,Live Forecast: RR 156
11.0,RR 57.71%,Over 11 • RR 73/3,Live Forecast: RR 175
12.0,DC 51.18%,Over 12 • RR 77/3,Live Forecast: RR 167
13.0,DC 50.06%,Over 13 • RR 88/3,Live Forecast: RR 168
14.0,DC 67.3%,Over 14 • RR 93/4,Live Forecast: RR 152
15.0,DC 61.11%,Over 15 • RR 108/4,Live Forecast: RR 158
16.0,DC 54.54%,Over 16 • RR 123/4,Live Forecast: RR 164
17.0,RR 52.18%,Over 17 • RR 138/4,Live Forecast: RR 170
18.0,DC 52.3%,Over 18 • RR 145/5,Live Forecast: RR 166
19.0,RR 53.3%,Over 19 • RR 160/5,Live Forecast: RR 171
20.0,RR 68.05%,Over 20 • RR 185/5,Live Forecast: RR 185
1.0,RR 72.43%,Over 1 • DC 2/0,DC needed 184 runs from 114 balls
2.0,RR 66.66%,Over 2 • DC 15/0,DC needed 171 runs from 108 balls
3.0,RR 57.48%,Over 3 • DC 29/0,DC needed 157 runs from 102 balls
4.0,RR 72.21%,Over 4 • DC 34/2,DC needed 152 runs from 96 balls
5.0,RR 60.43%,Over 5 • DC 47/2,DC needed 139 runs from 90 balls
6.0,RR 51.44%,Over 6 • DC 59/2,DC needed 127 runs from 84 balls
7.0,RR 57.92%,Over 7 • DC 63/2,DC needed 123 runs from 78 balls
8.0,RR 54.91%,Over 8 • DC 73/2,DC needed 113 runs from 72 balls
9.0,RR 62.23%,Over 9 • DC 80/2,DC needed 106 runs from 66 balls
10.0,RR 51.37%,Over 10 • DC 89/2,DC needed 97 runs from 60 balls
11.0,RR 66.6%,Over 11 • DC 93/2,DC needed 93 runs from 54 balls
12.0,RR 75.7%,Over 12 • DC 99/3,DC needed 87 runs from 48 balls
13.0,RR 80.22%,Over 13 • DC 105/3,DC needed 81 runs from 42 balls
14.0,RR 90.73%,Over 14 • DC 109/4,DC needed 77 runs from 36 balls
15.0,RR 87.42%,Over 15 • DC 120/4,DC needed 66 runs from 30 balls
16.0,RR 95.65%,Over 16 • DC 126/5,DC needed 60 runs from 24 balls
17.0,RR 84.19%,Over 17 • DC 145/5,DC needed 41 runs from 18 balls
18.0,RR 86.14%,Over 18 • DC 154/5,DC needed 32 runs from 12 balls
19.0,RR 71.57%,Over 19 • DC 169/5,DC needed 17 runs from 6 balls
20.0,RR 100%,Over 20 • DC 173/5,RR won by 12 runs
