Player,Team,TI,B. Impact,Bo. Impact
Jasprit Bumrah,MI,165.69,-,165.69
Ishan Kishan,MI,83.11,83.11,-
Dinesh Karthik,RCB,71.39,71.39,-
Shreyas Gopal,MI,62.46,-,62.46
Rajat Patidar,RCB,60.81,60.81,-
Suryakumar Yadav,MI,59.16,59.16,-
Gerald Coetzee,MI,48.63,-,48.63
Faf du Plessis,RCB,38.74,38.74,-
Akash Madhwal,MI,30.33,-,30.33
Rohit Sharma,MI,28.33,28.33,-
Hardik Pandya,MI,25.78,24.61,1.17
Will Jacks,RCB,20.38,4.75,15.64
Vijaykumar Vyshak,RCB,20.2,- 1.86,22.06
Akash Deep,RCB,15.56,- 0.21,15.77
Tilak Varma,MI,10.79,10.79,-
Reece Topley,RCB,9.94,-,9.94
Mohammad Nabi,MI,9.26,-,9.26
Romario Shepherd,MI,3.88,-,3.88
Tim David,MI,-,-,-
Mohammed Siraj,RCB,- 3.56,-,- 3.56
Mahipal Lomror,RCB,- 3.74,- 3.74,-
Saurav Chauhan,RCB,- 4.62,- 4.62,-
Glenn Maxwell,RCB,- 22,- 14.46,- 7.54
Virat Kohli,RCB,- 22.09,- 22.09,-
