Player,Team,TI,B. Impact,Bo. Impact
Sunil Narine,KKR,107.98,94.12,13.86
Angkrish Raghuvanshi,KKR,50.17,50.17,-
Anrich Nortje,DC,45.6,2.12,43.49
Rishabh Pant,DC,43.86,43.86,-
Andre Russell,KKR,41.62,38.65,2.96
Varun Chakravarthy,KKR,36.95,-,36.95
Vaibhav Arora,KKR,36.49,-,36.49
Tristan Stubbs,DC,36.02,36.02,-
Mitchell Starc,KKR,30.94,0.49,30.45
Rinku Singh,KKR,29.35,29.35,-
Khaleel Ahmed,DC,23.83,-,23.83
Phil Salt,KKR,16.87,16.87,-
Shreyas Iyer,KKR,12.21,12.21,-
Sumit Kumar,DC,10.89,3.76,7.13
David Warner,DC,9.19,9.19,-
Ishant Sharma,DC,8.02,0.67,7.36
Mitchell Marsh,DC,7.16,- 2.36,9.52
Prithvi Shaw,DC,5.21,5.21,-
Ramandeep Singh,KKR,0.46,0.46,-
Harshit Rana,KKR,-,-,-
Abishek Porel,DC,- 5.9,- 5.9,-
Venkatesh Iyer,KKR,- 6.6,4.99,- 11.59
Axar Patel,DC,- 8.82,- 1.18,- 7.64
Rasikh Salam,DC,- 12.97,- 0.64,- 12.33
