Player,Team,TI,B. Impact,Bo. Impact
Sai Sudharsan,GT,122.97,122.97,-
Shubman Gill,GT,118.98,118.98,-
Daryl Mitchell,CSK,80.81,85.64,- 4.83
Tushar Deshpande,CSK,65.38,-,65.38
Moeen Ali,CSK,58.24,58.24,-
Mohit Sharma,GT,49.01,-,49.01
Umesh Yadav,GT,47.52,-,47.52
Shardul Thakur,CSK,41.38,0.38,41
Sandeep Warrier,GT,23.78,-,23.78
Rashid Khan,GT,22.09,-,22.09
MS Dhoni,CSK,22.03,22.03,-
Shivam Dube,CSK,14.27,14.27,-
Ravindra Jadeja,CSK,4.45,13.31,- 8.86
David Miller,GT,3.92,3.92,-
Rahul Tewatia,GT,-,-,-
Matthew Wade,GT,-,-,-
Noor Ahmad,GT,- 2.24,-,- 2.24
Rachin Ravindra,CSK,- 3.91,- 3.91,-
M Shahrukh Khan,GT,- 4.02,- 4.02,-
Kartik Tyagi,GT,- 5.6,-,- 5.6
Ruturaj Gaikwad,CSK,- 8.46,- 8.46,-
Simarjeet Singh,CSK,- 9.91,-,- 9.91
Mitchell Santner,CSK,- 12.01,- 1.73,- 10.28
Ajinkya Rahane,CSK,- 13.14,- 13.14,-
