Player,Team,TI,B. Impact,Bo. Impact
Abhishek Sharma,SRH,68.31,63.89,4.42
Shivam Dube,CSK,57.16,57.16,-
Pat Cummins,SRH,45.1,-,45.1
Aiden Markram,SRH,43.17,43.17,-
Bhuvneshwar Kumar,SRH,41.83,-,41.83
Jaydev Unadkat,SRH,41.63,-,41.63
Shahbaz Ahmed,SRH,32.72,7.11,25.61
Deepak Chahar,CSK,30.38,-,30.38
Travis Head,SRH,30.24,30.24,-
Moeen Ali,CSK,25.43,-,25.43
Ravindra Jadeja,CSK,22.5,16.94,5.55
Maheesh Theekshana,CSK,22.47,-,22.47
T Natarajan,SRH,21.68,-,21.68
Ruturaj Gaikwad,CSK,19.38,19.38,-
Ajinkya Rahane,CSK,17.89,17.89,-
Rachin Ravindra,CSK,15.53,10.04,5.5
Nitish Kumar Reddy,SRH,13.02,13.02,-
Heinrich Klaasen,SRH,3.16,3.16,-
Daryl Mitchell,CSK,0.58,0.58,-
Abdul Samad,SRH,-,-,-
Tushar Deshpande,CSK,- 3.56,-,- 3.56
Mayank Markande,SRH,- 4.17,-,- 4.17
MS Dhoni,CSK,- 4.17,- 4.17,-
Mukesh Choudhary,CSK,- 21.96,-,- 21.96
