Player,Team,TI,B. Impact,Bo. Impact
Jaydev Unadkat,SRH,88.98,2.44,86.53
Rajat Patidar,RCB,85.45,85.45,-
Swapnil Singh,RCB,65.55,15.37,50.17
Abhishek Sharma,SRH,58.21,58.99,- 0.78
Cameron Green,RCB,57.39,41.51,15.88
Shahbaz Ahmed,SRH,49.35,22.61,26.75
Yash Dayal,RCB,41.53,-,41.53
T Natarajan,SRH,40.5,-,40.5
Pat Cummins,SRH,38.82,37.31,1.51
Faf du Plessis,RCB,38.73,38.73,-
Karn Sharma,RCB,37.56,-,37.56
Virat Kohli,RCB,30.06,30.06,-
Will Jacks,RCB,24.86,- 6.09,30.96
Mohammed Siraj,RCB,15.74,-,15.74
Dinesh Karthik,RCB,12.34,12.34,-
Mayank Markande,SRH,11.71,-,11.71
Heinrich Klaasen,SRH,10.87,10.87,-
Abdul Samad,SRH,10.28,10.28,-
Mahipal Lomror,RCB,7.73,7.73,-
Nitish Kumar Reddy,SRH,3.66,3.66,-
Bhuvneshwar Kumar,SRH,1.83,7.59,- 5.77
Aiden Markram,SRH,- 1,- 1,-
Travis Head,SRH,- 5.7,- 5.7,-
Lockie Ferguson,RCB,- 6.97,-,- 6.97
