Player,Team,TI,B. Impact,Bo. Impact
Andre Russell,KKR,119.8,4.86,114.94
Phil Salt,KKR,93.27,93.27,-
Harshit Rana,KKR,84.35,-,84.35
Rajat Patidar,RCB,74.27,74.27,-
Sunil Narine,KKR,72.14,- 12.64,84.78
Will Jacks,RCB,68.73,68.73,-
Cameron Green,RCB,65.08,4.76,60.32
Varun Chakravarthy,KKR,56.9,-,56.9
Karn Sharma,RCB,52.68,33.45,19.23
Mohammed Siraj,RCB,49.21,0,49.21
Ramandeep Singh,KKR,42.16,42.16,-
Yash Dayal,RCB,36.79,-,36.79
Virat Kohli,RCB,32.89,32.89,-
Shreyas Iyer,KKR,32.54,32.54,-
Lockie Ferguson,RCB,24.27,0.25,24.02
Venkatesh Iyer,KKR,21.76,21.76,-
Rinku Singh,KKR,20.29,20.29,-
Dinesh Karthik,RCB,12.1,12.1,-
Suyash Prabhudessai,RCB,6.05,6.05,-
Mahipal Lomror,RCB,2.5,2.5,-
Faf du Plessis,RCB,- 1.85,- 1.85,-
Angkrish Raghuvanshi,KKR,- 2.44,- 2.44,-
Mitchell Starc,KKR,- 9.41,-,- 9.41
Suyash Sharma,KKR,- 12.77,-,- 12.77
