Player,Team,TI,B. Impact,Bo. Impact
Mohit Sharma,GT,67.57,-,67.57
Rashid Khan,GT,49.51,-,49.51
Wriddhiman Saha,GT,44.57,44.57,-
Abdul Samad,SRH,43.52,43.52,-
Shubman Gill,GT,35.22,35.22,-
David Miller,GT,33.9,33.9,-
Noor Ahmad,GT,33.41,-,33.41
Heinrich Klaasen,SRH,31,31,-
Azmatullah Omarzai,GT,30.95,-,30.95
Sai Sudharsan,GT,30.52,30.52,-
Umesh Yadav,GT,29.6,-,29.6
Abhishek Sharma,SRH,29.19,29.19,-
Mayank Markande,SRH,28.12,-,28.12
Shahbaz Ahmed,SRH,23.69,2.52,21.17
Pat Cummins,SRH,21.84,- 0.39,22.23
Bhuvneshwar Kumar,SRH,18.27,-,18.27
Travis Head,SRH,17.17,17.17,-
Vijay Shankar,GT,9.83,9.83,-
Darshan Nalkande,GT,5.53,-,5.53
Mayank Agarwal,SRH,4.65,4.65,-
Rahul Tewatia,GT,-,-,-
Washington Sundar,SRH,- 1.78,- 2.04,0.26
Jaydev Unadkat,SRH,- 2.49,-,- 2.49
Aiden Markram,SRH,- 2.52,- 2.52,-
