Player,Team,TI,B. Impact,Bo. Impact
Mayank Yadav,LSG,117.34,-,117.34
Quinton de Kock,LSG,97.68,97.68,-
Glenn Maxwell,RCB,69.99,- 3.47,73.46
Mahipal Lomror,RCB,66.21,66.21,-
Nicholas Pooran,LSG,55.09,55.09,-
Marcus Stoinis,LSG,46.95,30.75,16.2
Manimaran Siddharth,LSG,41.11,-,41.11
Yash Dayal,RCB,37.84,-,37.84
Rajat Patidar,RCB,35.27,35.27,-
Naveen-ul-Haq,LSG,30.53,-,30.53
Reece Topley,RCB,25.18,1.49,23.69
KL Rahul,LSG,24.16,24.16,-
Faf du Plessis,RCB,22.54,22.54,-
Virat Kohli,RCB,21.54,21.54,-
Mohammed Siraj,RCB,20.5,8.99,11.51
Yash Thakur,LSG,0.07,-,0.07
Krunal Pandya,LSG,- 2.67,0,- 2.67
Cameron Green,RCB,- 2.96,5.27,- 8.23
Mayank Dagar,RCB,- 3.32,- 0.42,- 2.9
Ravi Bishnoi,LSG,- 6.27,-,- 6.27
Dinesh Karthik,RCB,- 7.67,- 7.67,-
Devdutt Padikkal,LSG,- 7.86,- 7.86,-
Ayush Badoni,LSG,- 8.55,- 8.55,-
Anuj Rawat,RCB,- 19.57,- 19.57,-
