Player,Team,TI,B. Impact,Bo. Impact
KL Rahul,LSG,96.08,96.08,-
Krunal Pandya,LSG,58.42,-,58.42
Marcus Stoinis,LSG,56.31,4.53,51.78
MS Dhoni,CSK,55.37,55.37,-
Ravindra Jadeja,CSK,43.44,47.68,- 4.24
Ajinkya Rahane,CSK,39.35,39.35,-
Quinton de Kock,LSG,37.98,37.98,-
Moeen Ali,CSK,37.13,29.67,7.46
Mohsin Khan,LSG,34.01,-,34.01
Yash Thakur,LSG,26.13,-,26.13
Nicholas Pooran,LSG,25.6,25.6,-
Matheesha Pathirana,CSK,23.01,-,23.01
Mustafizur Rahman,CSK,18.57,-,18.57
Ravi Bishnoi,LSG,15.26,-,15.26
Ruturaj Gaikwad,CSK,12.84,12.84,-
Deepak Chahar,CSK,7.07,-,7.07
Matt Henry,LSG,5.07,-,5.07
Tushar Deshpande,CSK,4.2,-,4.2
Ayush Badoni,LSG,-,-,-
Deepak Hooda,LSG,-,-,-
Rachin Ravindra,CSK,- 2.33,- 2.33,-
Sameer Rizvi,CSK,- 10.98,- 10.98,-
Shivam Dube,CSK,- 12.37,- 12.37,-
