Player,Team,TI,B. Impact,Bo. Impact
Ishant Sharma,DC,65.29,-,65.29
Rashid Khan,GT,56.42,48.47,7.95
Mukesh Kumar,DC,42.02,-,42.02
Tristan Stubbs,DC,29.49,-,29.49
Jake Fraser-McGurk,DC,23.75,23.75,-
Shai Hope,DC,21.34,21.34,-
Sai Sudharsan,GT,20.5,20.5,-
Axar Patel,DC,18.2,-,18.2
Abishek Porel,DC,17.74,17.74,-
Khaleel Ahmed,DC,16.35,-,16.35
Rishabh Pant,DC,15.95,15.95,-
Shubman Gill,GT,10.95,10.95,-
Kuldeep Yadav,DC,8.02,-,8.02
Sumit Kumar,DC,6.77,6.77,-
Rahul Tewatia,GT,6.31,6.31,-
Spencer Johnson,GT,6.25,0.84,5.41
Prithvi Shaw,DC,6.24,6.24,-
Sandeep Warrier,GT,4.44,-,4.44
Abhinav Manohar,GT,1.92,1.92,-
M Shahrukh Khan,GT,- 1.6,- 1.6,-
David Miller,GT,- 3.47,- 3.47,-
Noor Ahmad,GT,- 4.6,- 2.73,- 1.86
Mohit Sharma,GT,- 6.06,- 6.06,-
Wriddhiman Saha,GT,- 11.33,- 11.33,-
