Player,Team,TI,B. Impact,Bo. Impact
Glenn Maxwell,RCB,73.1,25.32,47.78
Rachin Ravindra,CSK,64.14,64.14,-
Cameron Green,RCB,64.06,49.8,14.26
Mitchell Santner,CSK,59.81,- 0.26,60.07
Virat Kohli,RCB,53.88,53.88,-
Rajat Patidar,RCB,43.5,43.5,-
Faf du Plessis,RCB,38.93,38.93,-
Maheesh Theekshana,CSK,33.7,-,33.7
Ajinkya Rahane,CSK,33.65,33.65,-
Yash Dayal,RCB,30.43,-,30.43
Tushar Deshpande,CSK,23.01,-,23.01
Ravindra Jadeja,CSK,21.67,32.56,- 10.89
Shardul Thakur,CSK,20.22,- 0.43,20.65
MS Dhoni,CSK,19.52,19.52,-
Dinesh Karthik,RCB,17.74,17.74,-
Mohammed Siraj,RCB,12.15,-,12.15
Swapnil Singh,RCB,8.83,-,8.83
Lockie Ferguson,RCB,8.63,-,8.63
Mahipal Lomror,RCB,- 2.44,- 2.44,-
Ruturaj Gaikwad,CSK,- 2.83,- 2.83,-
Karn Sharma,RCB,- 3.94,-,- 3.94
Daryl Mitchell,CSK,- 6.4,- 6.4,-
Simarjeet Singh,CSK,- 9.3,-,- 9.3
Shivam Dube,CSK,- 17.77,- 17.77,-
