Player,Team,TI,B. Impact,Bo. Impact
Romario Shepherd,MI,94.23,71.03,23.2
Tristan Stubbs,DC,71.27,71.27,-
Prithvi Shaw,DC,64.72,64.72,-
Axar Patel,DC,59.34,2.43,56.91
Rohit Sharma,MI,57.66,57.66,-
Tim David,MI,52.95,52.95,-
Khaleel Ahmed,DC,49.04,-,49.04
Ishan Kishan,MI,46.68,46.68,-
Jasprit Bumrah,MI,46.6,-,46.6
Anrich Nortje,DC,39.8,-,39.8
Gerald Coetzee,MI,29.99,-,29.99
Jhye Richardson,DC,20.61,1.09,19.52
Abishek Porel,DC,18.74,18.74,-
Mohammad Nabi,MI,7.92,-,7.92
Akash Madhwal,MI,6.46,-,6.46
Ishant Sharma,DC,5.27,-,5.27
David Warner,DC,4.85,4.85,-
Hardik Pandya,MI,4.37,4.37,-
Tilak Varma,MI,0.97,0.97,-
Kumar Kushagra,DC,- 0.44,- 0.44,-
Rishabh Pant,DC,- 2.52,- 2.52,-
Suryakumar Yadav,MI,- 4.94,- 4.94,-
Lalit Yadav,DC,- 5.76,- 0.67,- 5.09
Piyush Chawla,MI,- 8.71,-,- 8.71
