Player,Team,TI,B. Impact,Bo. Impact
Riyan Parag,RR,122.12,122.12,-
Nandre Burger,RR,63.12,-,63.12
Yuzvendra Chahal,RR,58.65,-,58.65
Tristan Stubbs,DC,57.48,57.48,-
Khaleel Ahmed,DC,50.92,-,50.92
David Warner,DC,46.54,46.54,-
Avesh Khan,RR,46.19,-,46.19
Axar Patel,DC,42.08,2.91,39.17
Ravichandran Ashwin,RR,39.05,37.59,1.46
Mitchell Marsh,DC,37.53,37.53,-
Kuldeep Yadav,DC,25.72,-,25.72
Dhruv Jurel,RR,23.54,23.54,-
Mukesh Kumar,DC,23.03,-,23.03
Shimron Hetmyer,RR,21.08,21.08,-
Sandeep Sharma,RR,11.63,-,11.63
Rishabh Pant,DC,11.16,11.16,-
Anrich Nortje,DC,9.81,-,9.81
Sanju Samson,RR,8.18,8.18,-
Trent Boult,RR,2.26,-,2.26
Sumit Kumar,DC,-,-,-
Yashasvi Jaiswal,RR,- 2.61,- 2.61,-
Ricky Bhui,DC,- 5.21,- 5.21,-
Abishek Porel,DC,- 5.34,- 5.34,-
Jos Buttler,RR,- 11.81,- 11.81,-
