Player,Team,TI,B. Impact,Bo. Impact
Nicholas Pooran,LSG,117.12,117.12,-
Tristan Stubbs,DC,103.63,81.02,22.61
Arshad Khan,LSG,96.78,76.75,20.03
Ishant Sharma,DC,92.19,-,92.19
Abishek Porel,DC,73.85,73.85,-
Ravi Bishnoi,LSG,43.5,0.74,42.76
Mukesh Kumar,DC,33.39,-,33.39
Shai Hope,DC,32.43,32.43,-
Naveen-ul-Haq,LSG,30.45,1.23,29.23
Mohsin Khan,LSG,28.95,-,28.95
Rishabh Pant,DC,22.28,22.28,-
Kuldeep Yadav,DC,20.35,-,20.35
Axar Patel,DC,16.58,4.67,11.91
Yudhvir Singh,LSG,15.2,21.31,- 6.11
Quinton de Kock,LSG,12.13,12.13,-
Khaleel Ahmed,DC,10.21,-,10.21
Krunal Pandya,LSG,9.18,4.19,4.99
KL Rahul,LSG,6.07,6.07,-
Deepak Hooda,LSG,- 1.25,- 5.08,3.83
Rasikh Salam,DC,- 2.93,-,- 2.93
Gulbadin Naib,DC,- 3.43,-,- 3.43
Jake Fraser-McGurk,DC,- 4.38,- 4.38,-
Ayush Badoni,LSG,- 4.7,- 4.7,-
Marcus Stoinis,LSG,- 4.84,- 4.84,-
