Player,Team,TI,B. Impact,Bo. Impact
Sanju Samson,RR,89.81,89.81,-
Nicholas Pooran,LSG,66.7,66.7,-
Trent Boult,RR,60.56,-,60.56
KL Rahul,LSG,52.18,52.18,-
Deepak Hooda,LSG,49.1,49.1,-
Naveen-ul-Haq,LSG,48.26,-,48.26
Riyan Parag,RR,43.86,43.86,-
Sandeep Sharma,RR,43.26,-,43.26
Yashasvi Jaiswal,RR,37.84,37.84,-
Ravi Bishnoi,LSG,31.4,-,31.4
Ravichandran Ashwin,RR,26.7,-,26.7
Krunal Pandya,LSG,26.47,- 2.17,28.64
Mohsin Khan,LSG,26.32,-,26.32
Yuzvendra Chahal,RR,25.5,-,25.5
Dhruv Jurel,RR,19.38,19.38,-
Nandre Burger,RR,13.1,-,13.1
Jos Buttler,RR,9.08,9.08,-
Avesh Khan,RR,6.03,-,6.03
Quinton de Kock,LSG,- 0.99,- 0.99,-
Ayush Badoni,LSG,- 2.27,- 9.34,7.07
Marcus Stoinis,LSG,- 4.33,- 4.33,-
Shimron Hetmyer,RR,- 5.08,- 5.08,-
Devdutt Padikkal,LSG,- 7.59,- 7.59,-
Yash Thakur,LSG,- 14.29,-,- 14.29
