Player,Team,TI,B. Impact,Bo. Impact
Suryakumar Yadav,MI,147.36,147.36,-
Pat Cummins,SRH,96.15,58.06,38.09
Piyush Chawla,MI,94.91,-,94.91
Hardik Pandya,MI,74.4,-,74.4
Travis Head,SRH,52.39,52.39,-
Bhuvneshwar Kumar,SRH,51.37,-,51.37
Jasprit Bumrah,MI,44.47,-,44.47
Tilak Varma,MI,27.81,27.81,-
Anshul Kamboj,MI,25.68,-,25.68
Marco Jansen,SRH,24.8,18.66,6.14
Nitish Kumar Reddy,SRH,23.32,18.23,5.09
Ishan Kishan,MI,9.14,9.14,-
T Natarajan,SRH,3.87,-,3.87
Sanvir Singh,SRH,3.47,3.47,-
Rohit Sharma,MI,0.18,0.18,-
Mayank Agarwal,SRH,0.11,0.11,-
Tim David,MI,-,-,-
Nuwan Thushara,MI,- 0.65,-,- 0.65
Abdul Samad,SRH,- 2.22,- 2.22,-
Heinrich Klaasen,SRH,- 5.17,- 5.17,-
Shahbaz Ahmed,SRH,- 5.55,- 3.83,- 1.72
Abhishek Sharma,SRH,- 5.63,- 5.63,-
Naman Dhir,MI,- 16.71,- 16.71,-
