Player,Team,TI,B. Impact,Bo. Impact
Kagiso Rabada,PBKS,82.19,-,82.19
Liam Livingstone,PBKS,61.01,28.5,32.51
Shimron Hetmyer,RR,55.34,55.34,-
Keshav Maharaj,RR,54.71,- 0.76,55.47
Sam Curran,PBKS,53.95,- 6.25,60.2
Ashutosh Sharma,PBKS,53.53,53.53,-
Yashasvi Jaiswal,RR,48.82,48.82,-
Avesh Khan,RR,44.96,-,44.96
Jitesh Sharma,PBKS,30.32,30.32,-
Yuzvendra Chahal,RR,26.41,-,26.41
Kuldeep Sen,RR,25.67,-,25.67
Trent Boult,RR,23.64,0,23.64
Riyan Parag,RR,20.9,20.9,-
Sanju Samson,RR,19.3,19.3,-
Rovman Powell,RR,18.36,18.36,-
Harshal Patel,PBKS,15.57,-,15.57
Atharva Taide,PBKS,14.41,14.41,-
Arshdeep Singh,PBKS,10.2,-,10.2
Shashank Singh,PBKS,5.87,5.87,-
Harpreet Brar,PBKS,4.85,0.98,3.86
Tanush Kotian,RR,3.54,3.54,-
Jonny Bairstow,PBKS,- 0.44,- 0.44,-
Prabhsimran Singh,PBKS,- 2.29,- 2.29,-
Dhruv Jurel,RR,- 8.27,- 8.27,-
