Player,Team,TI,B. Impact,Bo. Impact
Faf du Plessis,RCB,132.09,132.09,-
Josh Little,GT,114.09,-,114.09
Noor Ahmad,GT,83.17,0,83.17
Mohammed Siraj,RCB,78.15,-,78.15
Virat Kohli,RCB,66.56,66.56,-
Yash Dayal,RCB,65.32,-,65.32
M Shahrukh Khan,GT,46.91,46.91,-
Vijaykumar Vyshak,RCB,45.12,-,45.12
Cameron Green,RCB,43.96,- 0.62,44.58
Rahul Tewatia,GT,42.65,42.65,-
David Miller,GT,38,38,-
Dinesh Karthik,RCB,31.3,31.3,-
Swapnil Singh,RCB,28.9,12.04,16.87
Vijay Shankar,GT,8.46,8.46,-
Glenn Maxwell,RCB,6.33,6.33,-
Karn Sharma,RCB,4.42,-,4.42
Rashid Khan,GT,1.32,12.56,- 11.23
Rajat Patidar,RCB,0.21,0.21,-
Will Jacks,RCB,- 2.16,- 2.16,-
Manav Suthar,GT,- 9.26,- 1.43,- 7.82
Shubman Gill,GT,- 12.59,- 12.59,-
Wriddhiman Saha,GT,- 14.05,- 14.05,-
Mohit Sharma,GT,- 18.72,- 1.2,- 17.53
Sai Sudharsan,GT,- 20.52,- 20.52,-
