Player,Team,TI,B. Impact,Bo. Impact
Marcus Stoinis,LSG,141.39,93.17,48.22
Hardik Pandya,MI,61.62,- 1.73,63.35
Tim David,MI,60.51,60.51,-
Naveen-ul-Haq,LSG,52.61,-,52.61
Nehal Wadhera,MI,50.63,50.63,-
Mohsin Khan,LSG,44.59,-,44.59
KL Rahul,LSG,41.18,41.18,-
Nuwan Thushara,MI,34.5,-,34.5
Jasprit Bumrah,MI,26.41,-,26.41
Gerald Coetzee,MI,23.5,- 0.79,24.29
Ishan Kishan,MI,20.73,20.73,-
Ravi Bishnoi,LSG,20.6,-,20.6
Deepak Hooda,LSG,15.73,13.2,2.53
Mohammad Nabi,MI,15.64,- 1.82,17.45
Suryakumar Yadav,MI,14.49,14.49,-
Mayank Yadav,LSG,10.39,-,10.39
Nicholas Pooran,LSG,2.98,2.98,-
Ayush Badoni,LSG,2.86,2.86,-
Rohit Sharma,MI,1.8,1.8,-
Piyush Chawla,MI,0.71,-,0.71
Krunal Pandya,LSG,0.51,0.51,-
Tilak Varma,MI,- 0.96,- 0.96,-
Arshin Kulkarni,LSG,- 1.82,- 1.82,-
Ashton Turner,LSG,- 7.7,- 7.7,-
