Player,Team,TI,B. Impact,Bo. Impact
Harpreet Brar,PBKS,84.87,-,84.87
Rahul Chahar,PBKS,79.24,-,79.24
Rilee Rossouw,PBKS,64.66,64.66,-
Ruturaj Gaikwad,CSK,53.51,53.51,-
Jonny Bairstow,PBKS,46.7,46.7,-
Kagiso Rabada,PBKS,38.24,-,38.24
Richard Gleeson,CSK,32.08,-,32.08
Ajinkya Rahane,CSK,24.84,24.84,-
Shivam Dube,CSK,19.89,- 1.85,21.74
Prabhsimran Singh,PBKS,16.95,16.95,-
Mustafizur Rahman,CSK,14.19,-,14.19
Moeen Ali,CSK,14.13,18.33,- 4.2
Arshdeep Singh,PBKS,13.53,-,13.53
Shashank Singh,PBKS,12.71,12.71,-
Sam Curran,PBKS,10.99,20.82,- 9.83
MS Dhoni,CSK,9.08,9.08,-
Ashutosh Sharma,PBKS,-,-,-
Jitesh Sharma,PBKS,-,-,-
Ravindra Jadeja,CSK,- 0.17,- 4.59,4.42
Daryl Mitchell,CSK,- 0.18,- 0.18,-
Shardul Thakur,CSK,- 0.39,-,- 0.39
Harshal Patel,PBKS,- 0.52,-,- 0.52
Sameer Rizvi,CSK,- 1.08,- 1.08,-
Deepak Chahar,CSK,- 1.2,-,- 1.2
