Player,Team,TI,B. Impact,Bo. Impact
Matheesha Pathirana,CSK,116.2,-,116.2
Rohit Sharma,MI,96.83,96.83,-
Ruturaj Gaikwad,CSK,80.95,80.95,-
Shivam Dube,CSK,72.1,72.1,-
MS Dhoni,CSK,41.98,41.98,-
Gerald Coetzee,MI,39.68,-,39.68
Tushar Deshpande,CSK,36.72,-,36.72
Jasprit Bumrah,MI,31.75,-,31.75
Tilak Varma,MI,26.97,26.97,-
Ishan Kishan,MI,25.32,25.32,-
Hardik Pandya,MI,22.02,- 12.97,35
Mohammad Nabi,MI,18.97,- 1.12,20.1
Tim David,MI,17.49,17.49,-
Shreyas Gopal,MI,16.74,-,16.74
Rachin Ravindra,CSK,15.46,15.46,-
Ravindra Jadeja,CSK,13.92,-,13.92
Shardul Thakur,CSK,11.09,-,11.09
Mustafizur Rahman,CSK,10.24,-,10.24
Daryl Mitchell,CSK,1.03,1.03,-
Sameer Rizvi,CSK,-,-,-
Akash Madhwal,MI,- 4.28,-,- 4.28
Ajinkya Rahane,CSK,- 5.97,- 5.97,-
Suryakumar Yadav,MI,- 6.03,- 6.03,-
Romario Shepherd,MI,- 16.09,- 1.1,- 14.99
