Player,Team,TI,B. Impact,Bo. Impact
Ravindra Jadeja,CSK,132.9,75.26,57.64
Rahul Chahar,PBKS,107.94,13.26,94.69
Harshal Patel,PBKS,67.41,6.99,60.41
Mitchell Santner,CSK,64.54,5.47,59.07
Tushar Deshpande,CSK,61.79,- 1.05,62.84
Ruturaj Gaikwad,CSK,44.9,44.9,-
Daryl Mitchell,CSK,43.84,43.84,-
Simarjeet Singh,CSK,41.57,-,41.57
Prabhsimran Singh,PBKS,33.77,33.77,-
Shashank Singh,PBKS,32.49,32.49,-
Shardul Thakur,CSK,32.44,27.28,5.16
Arshdeep Singh,PBKS,17.89,-,17.89
Ajinkya Rahane,CSK,10.13,10.13,-
Kagiso Rabada,PBKS,9.44,7.33,2.11
Sam Curran,PBKS,7.88,- 2.5,10.38
Jonny Bairstow,PBKS,6.27,6.27,-
Moeen Ali,CSK,4.57,4.57,-
Shivam Dube,CSK,- 1.62,- 1.62,-
Jitesh Sharma,PBKS,- 2,- 2,-
MS Dhoni,CSK,- 2.07,- 2.07,-
Harpreet Brar,PBKS,- 2.99,12.18,- 15.17
Rilee Rossouw,PBKS,- 4.84,- 4.84,-
Richard Gleeson,CSK,- 11.38,1.15,- 12.53
Ashutosh Sharma,PBKS,- 11.44,- 11.44,-
