Player,Team,TI,B. Impact,Bo. Impact
Bhuvneshwar Kumar,SRH,121.36,-,121.36
Travis Head,SRH,106.55,106.55,-
Abhishek Sharma,SRH,82.3,82.3,-
Vijayakanth Viyaskanth,SRH,37.83,-,37.83
Nicholas Pooran,LSG,34.84,34.84,-
Ayush Badoni,LSG,33.64,39.01,- 5.37
Pat Cummins,SRH,29.39,-,29.39
Shahbaz Ahmed,SRH,24.28,-,24.28
Jaydev Unadkat,SRH,7.17,-,7.17
T Natarajan,SRH,2.72,-,2.72
Nitish Kumar Reddy,SRH,-,-,-
Abdul Samad,SRH,-,-,-
Sanvir Singh,SRH,-,-,-
Deepak Hooda,LSG,-,-,-
Heinrich Klaasen,SRH,-,-,-
Krunal Pandya,LSG,- 3.1,- 3.1,-
Krishnappa Gowtham,LSG,- 3.34,-,- 3.34
Marcus Stoinis,LSG,- 8.78,- 8.78,-
Ravi Bishnoi,LSG,- 10.41,-,- 10.41
Quinton de Kock,LSG,- 11.86,- 11.86,-
Naveen-ul-Haq,LSG,- 12.21,-,- 12.21
Yash Thakur,LSG,- 13.67,-,- 13.67
KL Rahul,LSG,- 26.01,- 26.01,-
