Player,Team,TI,B. Impact,Bo. Impact
Phil Salt,KKR,106.84,106.84,-
Mohsin Khan,LSG,66.28,-,66.28
Mitchell Starc,KKR,54.82,-,54.82
Sunil Narine,KKR,50.72,4.03,46.69
Varun Chakravarthy,KKR,45.57,-,45.57
KL Rahul,LSG,43.46,43.46,-
Nicholas Pooran,LSG,43.25,43.25,-
Vaibhav Arora,KKR,26.69,-,26.69
Shreyas Iyer,KKR,23.17,23.17,-
Marcus Stoinis,LSG,17.56,17.56,-
Andre Russell,KKR,16.23,-,16.23
Ayush Badoni,LSG,14.39,14.39,-
Harshit Rana,KKR,10.25,-,10.25
Quinton de Kock,LSG,8.77,8.77,-
Ravi Bishnoi,LSG,7.29,-,7.29
Angkrish Raghuvanshi,KKR,6.23,6.23,-
Ramandeep Singh,KKR,-,-,-
Venkatesh Iyer,KKR,-,-,-
Rinku Singh,KKR,-,-,-
Deepak Hooda,LSG,- 1.68,- 1.68,-
Arshad Khan,LSG,- 2.88,2.48,- 5.36
Shamar Joseph,LSG,- 4.1,-,- 4.1
Yash Thakur,LSG,- 4.8,-,- 4.8
Krunal Pandya,LSG,- 11.82,- 4.31,- 7.51
