Player,Team,TI,B. Impact,Bo. Impact
Axar Patel,DC,92.48,87.13,5.35
Rajat Patidar,RCB,70.92,70.92,-
Cameron Green,RCB,49.91,25.53,24.38
Khaleel Ahmed,DC,49.09,-,49.09
Virat Kohli,RCB,46.98,46.98,-
Rasikh Salam,DC,43.03,3.11,39.93
Yash Dayal,RCB,40.29,-,40.29
Mukesh Kumar,DC,39.65,1.48,38.17
Shai Hope,DC,39.65,39.65,-
Will Jacks,RCB,36.65,45.57,- 8.92
Jake Fraser-McGurk,DC,36.48,36.48,-
Lockie Ferguson,RCB,29.77,-,29.77
Swapnil Singh,RCB,29.43,- 1.57,31
Ishant Sharma,DC,27.65,0,27.65
Mahipal Lomror,RCB,14.33,14.33,-
Mohammed Siraj,RCB,9.55,0,9.55
Kuldeep Yadav,DC,5.44,2.8,2.65
Faf du Plessis,RCB,1.07,1.07,-
Karn Sharma,RCB,0.92,6.14,- 5.22
Kumar Kushagra,DC,0.01,0.01,-
Tristan Stubbs,DC,- 0.84,- 0.84,-
Abishek Porel,DC,- 0.98,- 0.98,-
David Warner,DC,- 1.51,- 1.51,-
Dinesh Karthik,RCB,- 4.24,- 4.24,-
