Player,Team,TI,B. Impact,Bo. Impact
Ruturaj Gaikwad,CSK,133.68,133.68,-
Tushar Deshpande,CSK,76.4,-,76.4
Daryl Mitchell,CSK,58.54,58.54,-
Shivam Dube,CSK,40.62,40.62,-
Aiden Markram,SRH,30.15,30.15,-
Matheesha Pathirana,CSK,29.1,-,29.1
Ravindra Jadeja,CSK,25,-,25
T Natarajan,SRH,23.04,-,23.04
Bhuvneshwar Kumar,SRH,22.45,2.64,19.8
Abhishek Sharma,SRH,22.11,22.11,-
Jaydev Unadkat,SRH,21.12,0.05,21.07
Travis Head,SRH,20.68,20.68,-
Mustafizur Rahman,CSK,19.46,-,19.46
Shardul Thakur,CSK,14.71,-,14.71
Nitish Kumar Reddy,SRH,9.32,5.95,3.36
Abdul Samad,SRH,8.38,8.38,-
MS Dhoni,CSK,6.18,6.18,-
Heinrich Klaasen,SRH,6.07,6.07,-
Deepak Chahar,CSK,3.74,-,3.74
Moeen Ali,CSK,-,-,-
Shahbaz Ahmed,SRH,- 1.55,4.59,- 6.14
Anmolpreet Singh,SRH,- 2.4,- 2.4,-
Ajinkya Rahane,CSK,- 6.3,- 6.3,-
Pat Cummins,SRH,- 7.43,0.84,- 8.27
