Player,Team,TI,B. Impact,Bo. Impact
Shahbaz Ahmed,SRH,97.36,7.6,89.76
Rahul Tripathi,SRH,96.83,96.83,-
Abhishek Sharma,SRH,89.52,31.12,58.4
Yashasvi Jaiswal,RR,82.62,82.62,-
Heinrich Klaasen,SRH,79.27,79.27,-
Avesh Khan,RR,72.36,-,72.36
Trent Boult,RR,64.47,- 0.66,65.13
Sandeep Sharma,RR,57.99,-,57.99
Dhruv Jurel,RR,57.55,57.55,-
Travis Head,SRH,44.55,44.55,-
Pat Cummins,SRH,39.66,2.15,37.51
T Natarajan,SRH,22.61,-,22.61
Jaydev Unadkat,SRH,18.53,11.65,6.88
Sanju Samson,RR,2.94,2.94,-
Yuzvendra Chahal,RR,2.05,-,2.05
Abdul Samad,SRH,- 2.42,- 2.42,-
Rovman Powell,RR,- 2.79,- 2.79,-
Aiden Markram,SRH,- 3.24,- 1.74,- 1.5
Riyan Parag,RR,- 7.9,- 7.9,-
Tom Kohler-Cadmore,RR,- 9.42,- 9.42,-
Bhuvneshwar Kumar,SRH,- 9.44,-,- 9.44
Nitish Kumar Reddy,SRH,- 11.12,- 11.12,-
Shimron Hetmyer,RR,- 11.26,- 11.26,-
Ravichandran Ashwin,RR,- 22.79,- 7.32,- 15.47
