Player,Team,TI,B. Impact,Bo. Impact
Marcus Stoinis,LSG,165.3,160.84,4.46
Ruturaj Gaikwad,CSK,97.93,97.93,-
Shivam Dube,CSK,93.58,93.58,-
Matheesha Pathirana,CSK,80.75,-,80.75
Matt Henry,LSG,59.85,-,59.85
Nicholas Pooran,LSG,52.37,52.37,-
Deepak Chahar,CSK,48.61,-,48.61
Yash Thakur,LSG,32.5,-,32.5
Deepak Hooda,LSG,30.22,30.22,-
Mustafizur Rahman,CSK,28.8,-,28.8
Mohsin Khan,LSG,20.94,-,20.94
Krunal Pandya,LSG,15.57,-,15.57
MS Dhoni,CSK,7.61,7.61,-
Ravi Bishnoi,LSG,6.08,-,6.08
KL Rahul,LSG,4.62,4.62,-
Tushar Deshpande,CSK,4.55,-,4.55
Moeen Ali,CSK,2.06,-,2.06
Daryl Mitchell,CSK,1.2,1.2,-
Ravindra Jadeja,CSK,0.06,- 13.37,13.43
Ayush Badoni,LSG,-,-,-
Ajinkya Rahane,CSK,- 5.08,- 5.08,-
Shardul Thakur,CSK,- 9.06,-,- 9.06
Quinton de Kock,LSG,- 9.56,- 9.56,-
Devdutt Padikkal,LSG,- 26.94,- 26.94,-
