Player,Team,TI,B. Impact,Bo. Impact
Rishabh Pant,DC,112.23,112.23,-
Sandeep Warrier,GT,105.25,-,105.25
Axar Patel,DC,86.5,51.01,35.49
Kuldeep Yadav,DC,81.54,-,81.54
David Miller,GT,79.63,79.63,-
Rasikh Salam,DC,77.56,-,77.56
Sai Sudharsan,GT,56.01,56.01,-
Tristan Stubbs,DC,53.62,53.62,-
Mukesh Kumar,DC,46.33,-,46.33
Rashid Khan,GT,45.66,21.43,24.23
Wriddhiman Saha,GT,30.55,30.55,-
Jake Fraser-McGurk,DC,21.93,21.93,-
Azmatullah Omarzai,GT,19.1,- 4.33,23.43
Noor Ahmad,GT,19.02,-,19.02
Anrich Nortje,DC,18.22,-,18.22
M Shahrukh Khan,GT,15.49,6.19,9.3
Prithvi Shaw,DC,8.22,8.22,-
Sai Kishore,GT,6.06,17.46,- 11.4
Shubman Gill,GT,0.74,0.74,-
Abishek Porel,DC,-,-,-
Khaleel Ahmed,DC,- 2.5,-,- 2.5
Shai Hope,DC,- 4.01,- 4.01,-
Rahul Tewatia,GT,- 7.55,- 7.55,-
Mohit Sharma,GT,- 25.93,0,- 25.93
