Player,Team,TI,B. Impact,Bo. Impact
Sanju Samson,RR,108.48,108.48,-
Ravichandran Ashwin,RR,88.86,- 2.78,91.65
Kuldeep Yadav,DC,84.9,6.94,77.96
Jake Fraser-McGurk,DC,81.36,81.36,-
Abishek Porel,DC,76.47,76.47,-
Khaleel Ahmed,DC,70.05,-,70.05
Axar Patel,DC,66.23,12.81,53.42
Tristan Stubbs,DC,48.15,48.15,-
Mukesh Kumar,DC,45.56,-,45.56
Rasikh Salam,DC,33.92,14.56,19.36
Sandeep Sharma,RR,27.61,-,27.61
Shubham Dubey,RR,25,25,-
Yuzvendra Chahal,RR,24.28,-,24.28
Riyan Parag,RR,21.75,11.28,10.47
Trent Boult,RR,17.61,0.72,16.89
Yashasvi Jaiswal,RR,6.08,6.08,-
Rovman Powell,RR,5.72,5.72,-
Gulbadin Naib,DC,4.79,4.79,-
Ishant Sharma,DC,4.4,-,4.4
Rishabh Pant,DC,1.95,1.95,-
Jos Buttler,RR,1.32,1.32,-
Shai Hope,DC,- 0.23,- 0.23,-
Donovan Ferreira,RR,- 8.28,- 8.28,-
Avesh Khan,RR,- 22.18,5.97,- 28.15
