Player,Team,TI,B. Impact,Bo. Impact
Shivam Dube,CSK,89.81,89.81,-
Rachin Ravindra,CSK,89.34,89.34,-
Deepak Chahar,CSK,63.26,-,63.26
Tushar Deshpande,CSK,44.46,-,44.46
Ruturaj Gaikwad,CSK,44.23,44.23,-
Spencer Johnson,GT,36.04,3.18,32.86
Sai Sudharsan,GT,28.57,28.57,-
Daryl Mitchell,CSK,27.12,9.51,17.61
Sameer Rizvi,CSK,24.47,24.47,-
Rashid Khan,GT,23.63,- 0.36,24
Mohit Sharma,GT,21.93,-,21.93
Sai Kishore,GT,21.15,-,21.15
David Miller,GT,20.17,20.17,-
Wriddhiman Saha,GT,18.95,18.95,-
Matheesha Pathirana,CSK,16.19,-,16.19
Mustafizur Rahman,CSK,15.37,-,15.37
Ravindra Jadeja,CSK,12.18,10.91,1.28
Shubman Gill,GT,11.44,11.44,-
Vijay Shankar,GT,5.38,5.38,-
Azmatullah Omarzai,GT,3.84,4.39,- 0.56
Ajinkya Rahane,CSK,2.7,2.7,-
MS Dhoni,CSK,-,-,-
Rahul Tewatia,GT,- 2.15,- 2.15,-
Umesh Yadav,GT,- 4.28,5.21,- 9.5
