Player,Team,TI,B. Impact,Bo. Impact
Trent Boult,RR,98.99,-,98.99
Akash Madhwal,MI,80.48,1.8,78.68
Yuzvendra Chahal,RR,70.38,-,70.38
Hardik Pandya,MI,61.45,61.45,-
Riyan Parag,RR,51.59,51.59,-
Tilak Varma,MI,43.2,43.2,-
Nandre Burger,RR,31.12,-,31.12
Ishan Kishan,MI,25.29,25.29,-
Kwena Maphaka,MI,20.21,-,20.21
Jasprit Bumrah,MI,16.96,4.53,12.43
Yashasvi Jaiswal,RR,13.13,13.13,-
Sanju Samson,RR,12.71,12.71,-
Ravichandran Ashwin,RR,9.31,11.52,- 2.2
Shubham Dubey,RR,7.59,7.59,-
Jos Buttler,RR,6.99,6.99,-
Avesh Khan,RR,3.62,-,3.62
Tim David,MI,3.48,3.48,-
Piyush Chawla,MI,0.12,- 2.61,2.73
Dhruv Jurel,RR,-,-,-
Shimron Hetmyer,RR,-,-,-
Dewald Brevis,MI,- 1.67,- 1.67,-
Naman Dhir,MI,- 1.78,- 1.78,-
Rohit Sharma,MI,- 1.94,- 1.94,-
Gerald Coetzee,MI,- 16.5,- 1.86,- 14.64
