Player,Team,TI,B. Impact,Bo. Impact
Ashutosh Sharma,PBKS,119.91,119.91,-
Jasprit Bumrah,MI,115.74,-,115.74
Gerald Coetzee,MI,93.12,-,93.12
Suryakumar Yadav,MI,76.45,76.45,-
Shashank Singh,PBKS,68.76,68.76,-
Harshal Patel,PBKS,66.97,- 4.06,71.03
Sam Curran,PBKS,52.9,0.1,52.81
Tilak Varma,MI,44.67,44.67,-
Kagiso Rabada,PBKS,40.18,16.18,24
Rohit Sharma,MI,37.92,37.92,-
Hardik Pandya,MI,32.12,10.22,21.9
Harpreet Brar,PBKS,23.19,10.95,12.24
Tim David,MI,18.5,18.5,-
Harpreet Singh,PBKS,7.71,7.71,-
Jitesh Sharma,PBKS,6.54,6.54,-
Liam Livingstone,PBKS,4.75,- 1.72,6.47
Akash Madhwal,MI,3.74,-,3.74
Shreyas Gopal,MI,3.74,-,3.74
Ishan Kishan,MI,2.19,2.19,-
Mohammad Nabi,MI,- 2.03,- 2.03,-
Prabhsimran Singh,PBKS,- 2.55,- 2.55,-
Rilee Rossouw,PBKS,- 4.91,- 4.91,-
Romario Shepherd,MI,- 5.2,- 2.78,- 2.41
Arshdeep Singh,PBKS,- 5.82,-,- 5.82
