Player,Team,TI,B. Impact,Bo. Impact
Abhishek Sharma,SRH,113.49,113.49,-
T Natarajan,SRH,74.77,-,74.77
Prabhsimran Singh,PBKS,55.67,55.67,-
Arshdeep Singh,PBKS,54.74,-,54.74
Rilee Rossouw,PBKS,50.49,50.49,-
Pat Cummins,SRH,49.34,-,49.34
Rahul Tripathi,SRH,48.45,48.45,-
Heinrich Klaasen,SRH,44.97,44.97,-
Harshal Patel,PBKS,43.22,-,43.22
Atharva Taide,PBKS,41.21,42.99,- 1.78
Vijayakanth Viyaskanth,SRH,41.18,-,41.18
Jitesh Sharma,PBKS,34.85,34.85,-
Shashank Singh,PBKS,29.47,- 6.43,35.9
Bhuvneshwar Kumar,SRH,21.75,-,21.75
Harpreet Brar,PBKS,18.74,-,18.74
Nitish Kumar Reddy,SRH,14.04,32.89,- 18.85
Abdul Samad,SRH,8.05,8.05,-
Rahul Chahar,PBKS,5.49,-,5.49
Sanvir Singh,SRH,5.01,5.01,-
Rishi Dhawan,PBKS,- 0.21,-,- 0.21
Travis Head,SRH,- 3,- 3,-
Shahbaz Ahmed,SRH,- 5.99,- 4.15,- 1.85
Ashutosh Sharma,PBKS,- 6.41,- 6.41,-
Shivam Singh,PBKS,- 6.76,- 6.76,-
