Player,Team,TI,B. Impact,Bo. Impact
Harpreet Brar,PBKS,99.09,- 0.17,99.26
Virat Kohli,RCB,96.96,96.96,-
Kagiso Rabada,PBKS,88.31,-,88.31
Mohammed Siraj,RCB,84.72,-,84.72
Yash Dayal,RCB,51.64,-,51.64
Dinesh Karthik,RCB,50.79,50.79,-
Glenn Maxwell,RCB,46.22,- 3.74,49.97
Sam Curran,PBKS,37.65,16.14,21.51
Shashank Singh,PBKS,37.6,37.6,-
Mahipal Lomror,RCB,30.32,30.32,-
Shikhar Dhawan,PBKS,29.09,29.09,-
Alzarri Joseph,RCB,27.95,-,27.95
Prabhsimran Singh,PBKS,26.52,26.52,-
Harshal Patel,PBKS,22.54,-,22.54
Jitesh Sharma,PBKS,19.36,19.36,-
Liam Livingstone,PBKS,13.14,13.14,-
Jonny Bairstow,PBKS,8.37,8.37,-
Rajat Patidar,RCB,6.02,6.02,-
Cameron Green,RCB,- 1.11,- 2.88,1.76
Arshdeep Singh,PBKS,- 3.9,-,- 3.9
Mayank Dagar,RCB,- 6.36,-,- 6.36
Faf du Plessis,RCB,- 6.92,- 6.92,-
Anuj Rawat,RCB,- 8.35,- 8.35,-
Rahul Chahar,PBKS,- 9.09,-,- 9.09
