Player,Team,TI,B. Impact,Bo. Impact
Mitchell Starc,KKR,68,-,68
Harshit Rana,KKR,64.41,-,64.41
Venkatesh Iyer,KKR,59.26,59.26,-
Andre Russell,KKR,52.78,-,52.78
Pat Cummins,SRH,52.71,35.36,17.35
Vaibhav Arora,KKR,38.28,-,38.28
Sunil Narine,KKR,33.95,8.88,25.07
Rahmanullah Gurbaz,KKR,31.89,31.89,-
Varun Chakravarthy,KKR,25.58,-,25.58
Nitish Kumar Reddy,SRH,21.78,21.78,-
Shahbaz Ahmed,SRH,17.97,11.92,6.05
Aiden Markram,SRH,16.07,14.74,1.33
Heinrich Klaasen,SRH,12.41,12.41,-
Shreyas Iyer,KKR,6.52,6.52,-
Abdul Samad,SRH,3.9,3.9,-
Ramandeep Singh,KKR,-,-,-
Rinku Singh,KKR,-,-,-
Rahul Tripathi,SRH,- 0.65,- 0.65,-
Travis Head,SRH,- 2.08,- 2.08,-
Abhishek Sharma,SRH,- 5.44,- 5.44,-
Bhuvneshwar Kumar,SRH,- 8.02,- 0.75,- 7.27
Jaydev Unadkat,SRH,- 9.41,- 8.07,- 1.33
T Natarajan,SRH,- 10.01,-,- 10.01
