Player,Team,TI,B. Impact,Bo. Impact
Jasprit Bumrah,MI,98.55,0.44,98.11
Azmatullah Omarzai,GT,79.7,21.38,58.32
Mohit Sharma,GT,67.05,-,67.05
Rohit Sharma,MI,52.31,52.31,-
Sai Kishore,GT,46.49,-,46.49
Gerald Coetzee,MI,37.7,- 3.53,41.23
Shubman Gill,GT,37.04,37.04,-
Spencer Johnson,GT,36.06,-,36.06
Dewald Brevis,MI,34.37,34.37,-
Umesh Yadav,GT,32.1,-,32.1
Sai Sudharsan,GT,31.22,31.22,-
Rashid Khan,GT,29.75,2.51,27.23
Naman Dhir,MI,22.94,29.38,- 6.44
Piyush Chawla,MI,22.23,- 1.1,23.33
Rahul Tewatia,GT,22.02,22.02,-
Wriddhiman Saha,GT,20.14,20.14,-
Tilak Varma,MI,18.99,18.99,-
Hardik Pandya,MI,18.22,21.57,- 3.35
Shams Mulani,MI,5.66,0.62,5.04
David Miller,GT,5.13,5.13,-
Vijay Shankar,GT,2.39,2.39,-
Tim David,MI,2,2,-
Luke Wood,MI,- 6.43,-,- 6.43
Ishan Kishan,MI,- 8.73,- 8.73,-
