Player,Team,TI,B. Impact,Bo. Impact
Varun Chakravarthy,KKR,85.72,-,85.72
Phil Salt,KKR,81.99,81.99,-
Vaibhav Arora,KKR,66.57,-,66.57
Kuldeep Yadav,DC,40.64,42.36,- 1.73
Sunil Narine,KKR,39.22,15.08,24.14
Harshit Rana,KKR,30.99,-,30.99
Rishabh Pant,DC,30.12,30.12,-
Axar Patel,DC,29.79,- 6.48,36.27
Shreyas Iyer,KKR,27.8,27.8,-
Prithvi Shaw,DC,18.06,18.06,-
Abishek Porel,DC,17.18,17.18,-
Venkatesh Iyer,KKR,17.06,17.06,-
Jake Fraser-McGurk,DC,15.92,15.92,-
Mitchell Starc,KKR,12.35,-,12.35
Shai Hope,DC,9.72,9.72,-
Rinku Singh,KKR,6.07,6.07,-
Khaleel Ahmed,DC,4.54,-,4.54
Lizaad Williams,DC,0.96,- 0.3,1.25
Angkrish Raghuvanshi,KKR,-,-,-
Ramandeep Singh,KKR,-,-,-
Andre Russell,KKR,- 1.1,-,- 1.1
Kumar Kushagra,DC,- 1.97,- 1.97,-
Tristan Stubbs,DC,- 5.54,- 5.54,-
Rasikh Salam,DC,- 7.47,2.96,- 10.42
