Player,Team,TI,B. Impact,Bo. Impact
Venkatesh Iyer,KKR,98.12,98.12,-
Andre Russell,KKR,87.23,19.05,68.18
Suryakumar Yadav,MI,84.73,84.73,-
Sunil Narine,KKR,79.92,6.47,73.45
Varun Chakravarthy,KKR,77.38,-,77.38
Nuwan Thushara,MI,77.06,-,77.06
Manish Pandey,KKR,61.29,61.29,-
Jasprit Bumrah,MI,60.26,0.65,59.61
Mitchell Starc,KKR,59.21,- 2.04,61.25
Piyush Chawla,MI,33.51,- 0.53,34.04
Angkrish Raghuvanshi,KKR,24.7,24.7,-
Tim David,MI,20.16,20.16,-
Hardik Pandya,MI,18.68,- 3.83,22.51
Ishan Kishan,MI,18.36,18.36,-
Rinku Singh,KKR,15.12,15.12,-
Shreyas Iyer,KKR,8.92,8.92,-
Phil Salt,KKR,7.5,7.5,-
Rohit Sharma,MI,4.56,4.56,-
Naman Dhir,MI,1.4,6.94,- 5.54
Tilak Varma,MI,- 1.2,- 1.2,-
Ramandeep Singh,KKR,- 3.39,- 3.39,-
Gerald Coetzee,MI,- 3.71,8.5,- 12.21
Nehal Wadhera,MI,- 6.71,- 6.71,-
Vaibhav Arora,KKR,- 12.14,0,- 12.14
