Player,Team,TI,B. Impact,Bo. Impact
Simarjeet Singh,CSK,96.91,-,96.91
Riyan Parag,RR,48.71,48.71,-
Yuzvendra Chahal,RR,40.82,-,40.82
Tushar Deshpande,CSK,38.79,-,38.79
Ravichandran Ashwin,RR,37.78,- 0.22,38
Rachin Ravindra,CSK,36.18,36.18,-
Dhruv Jurel,RR,34.38,34.38,-
Daryl Mitchell,CSK,31.28,31.28,-
Ruturaj Gaikwad,CSK,28.63,28.63,-
Nandre Burger,RR,26.49,-,26.49
Yashasvi Jaiswal,RR,24.19,24.19,-
Shivam Dube,CSK,22.8,22.8,-
Sameer Rizvi,CSK,16.24,16.24,-
Ravindra Jadeja,CSK,11.92,2.21,9.71
Maheesh Theekshana,CSK,6.72,-,6.72
Avesh Khan,RR,4.11,-,4.11
Jos Buttler,RR,3.77,3.77,-
Shardul Thakur,CSK,1.79,-,1.79
Moeen Ali,CSK,0.19,0.19,-
MS Dhoni,CSK,-,-,-
Trent Boult,RR,- 1.37,-,- 1.37
Shubham Dubey,RR,- 2.87,- 2.87,-
Sanju Samson,RR,- 4.37,- 4.37,-
Sandeep Sharma,RR,- 7.45,-,- 7.45
