Player,Team,TI,B. Impact,Bo. Impact
Will Jacks,RCB,97.29,97.29,-
Sai Sudharsan,GT,69.37,69.37,-
M Shahrukh Khan,GT,68.3,68.3,-
Virat Kohli,RCB,62.39,62.39,-
Mohammed Siraj,RCB,51.56,-,51.56
Swapnil Singh,RCB,45.16,-,45.16
Glenn Maxwell,RCB,42.31,-,42.31
Sai Kishore,GT,42.07,-,42.07
Faf du Plessis,RCB,40.28,40.28,-
Yash Dayal,RCB,38.07,-,38.07
Azmatullah Omarzai,GT,11.46,-,11.46
Noor Ahmad,GT,11.3,-,11.3
Rashid Khan,GT,8.32,-,8.32
Wriddhiman Saha,GT,1.1,1.1,-
Karn Sharma,RCB,0.69,-,0.69
Rajat Patidar,RCB,-,-,-
Rahul Tewatia,GT,-,-,-
Dinesh Karthik,RCB,-,-,-
David Miller,GT,- 2.47,- 2.47,-
Sandeep Warrier,GT,- 2.84,-,- 2.84
Cameron Green,RCB,- 3.31,-,- 3.31
Mohit Sharma,GT,- 12.72,-,- 12.72
Shubman Gill,GT,- 16.54,- 16.54,-
