Player,Team,TI,B. Impact,Bo. Impact
Sai Kishore,GT,84.14,0,84.14
Liam Livingstone,PBKS,77.61,- 0.06,77.67
Noor Ahmad,GT,73.29,-,73.29
Harpreet Brar,PBKS,58.48,60,- 1.52
Rahul Tewatia,GT,53.4,53.4,-
Prabhsimran Singh,PBKS,49.33,49.33,-
Harshal Patel,PBKS,46.9,- 1.28,48.17
Rashid Khan,GT,45.14,2.21,42.92
Shubman Gill,GT,41.88,41.88,-
Sam Curran,PBKS,36.35,13.64,22.71
Mohit Sharma,GT,31.82,-,31.82
Arshdeep Singh,PBKS,23.45,-,23.45
Azmatullah Omarzai,GT,21.94,14.68,7.26
Wriddhiman Saha,GT,13.57,13.57,-
M Shahrukh Khan,GT,13.17,12.15,1.02
Sai Sudharsan,GT,13.13,13.13,-
Jitesh Sharma,PBKS,12.11,12.11,-
Rilee Rossouw,PBKS,9.77,9.77,-
David Miller,GT,- 2.98,- 2.98,-
Kagiso Rabada,PBKS,- 3.86,0.54,- 4.4
Harpreet Singh,PBKS,- 4.54,- 4.54,-
Shashank Singh,PBKS,- 4.93,- 4.93,-
Ashutosh Sharma,PBKS,- 9.68,- 9.68,-
Sandeep Warrier,GT,- 16,-,- 16
