Player,Team,TI,B. Impact,Bo. Impact
Mitchell Starc,KKR,103.25,-,103.25
Rahul Tripathi,SRH,73.64,73.64,-
Shreyas Iyer,KKR,61.81,61.81,-
Varun Chakravarthy,KKR,57.47,-,57.47
Venkatesh Iyer,KKR,52.99,52.99,-
T Natarajan,SRH,45.35,-,45.35
Heinrich Klaasen,SRH,43.08,43.08,-
Pat Cummins,SRH,41.55,26.58,14.97
Vaibhav Arora,KKR,39.95,-,39.95
Harshit Rana,KKR,29.16,-,29.16
Sunil Narine,KKR,25.12,17.37,7.75
Rahmanullah Gurbaz,KKR,23.13,23.13,-
Abdul Samad,SRH,16.89,16.89,-
Andre Russell,KKR,9.19,-,9.19
Bhuvneshwar Kumar,SRH,2.97,- 4.22,7.19
Vijayakanth Viyaskanth,SRH,2.6,5.95,- 3.35
Ramandeep Singh,KKR,-,-,-
Rinku Singh,KKR,-,-,-
Sanvir Singh,SRH,- 2.31,- 2.31,-
Shahbaz Ahmed,SRH,- 2.4,- 2.4,-
Abhishek Sharma,SRH,- 2.46,- 2.46,-
Nitish Kumar Reddy,SRH,- 2.59,0.01,- 2.6
Travis Head,SRH,- 17.1,- 5.88,- 11.22
