Player,Team,TI,B. Impact,Bo. Impact
Nicholas Pooran,LSG,123.79,123.79,-
Nuwan Thushara,MI,92.44,-,92.44
Rohit Sharma,MI,86.5,86.5,-
Piyush Chawla,MI,85.67,-,85.67
Krunal Pandya,LSG,72.23,11.94,60.29
Naman Dhir,MI,41.93,54.97,- 13.05
Ravi Bishnoi,LSG,35.65,-,35.65
KL Rahul,LSG,34.9,34.9,-
Naveen-ul-Haq,LSG,28.59,-,28.59
Ayush Badoni,LSG,28.25,28.25,-
Arshad Khan,LSG,20.86,- 2.56,23.42
Marcus Stoinis,LSG,19.99,19.99,-
Mohsin Khan,LSG,10.91,-,10.91
Nehal Wadhera,MI,10.22,- 2.32,12.54
Arjun Tendulkar,MI,7.73,-,7.73
Dewald Brevis,MI,3.95,3.95,-
Deepak Hooda,LSG,3.3,3.3,-
Hardik Pandya,MI,0.17,6.32,- 6.15
Romario Shepherd,MI,- 1.09,0.31,- 1.41
Devdutt Padikkal,LSG,- 2.19,- 2.19,-
Matt Henry,LSG,- 2.46,-,- 2.46
Ishan Kishan,MI,- 4.53,- 4.53,-
Suryakumar Yadav,MI,- 7.8,- 7.8,-
Anshul Kamboj,MI,- 16.81,-,- 16.81
