Player,Team,TI,B. Impact,Bo. Impact
Sunil Narine,KKR,102.06,64.84,37.21
Andre Russell,KKR,93.82,-,93.82
Harshit Rana,KKR,70.69,-,70.69
Virat Kohli,RCB,50.11,50.11,-
Vijaykumar Vyshak,RCB,47.72,-,47.72
Venkatesh Iyer,KKR,45.56,45.56,-
Mayank Dagar,RCB,34.37,-,34.37
Phil Salt,KKR,32.61,32.61,-
Cameron Green,RCB,31.92,30.01,1.91
Dinesh Karthik,RCB,31.56,31.56,-
Shreyas Iyer,KKR,31.37,31.37,-
Anukul Roy,KKR,28.1,-,28.1
Glenn Maxwell,RCB,20.79,20.79,-
Yash Dayal,RCB,7.35,-,7.35
Faf du Plessis,RCB,6.3,6.3,-
Varun Chakravarthy,KKR,4.62,-,4.62
Mitchell Starc,KKR,2.02,-,2.02
Rinku Singh,KKR,1.61,1.61,-
Angkrish Raghuvanshi,KKR,-,-,-
Ramandeep Singh,KKR,-,-,-
Anuj Rawat,RCB,- 2.59,- 2.59,-
Rajat Patidar,RCB,- 5.92,- 5.92,-
Alzarri Joseph,RCB,- 13.29,-,- 13.29
Mohammed Siraj,RCB,- 16.02,-,- 16.02
