Player,Team,TI,B. Impact,Bo. Impact
Travis Head,SRH,103.29,103.29,-
Dinesh Karthik,RCB,60.35,60.35,-
Heinrich Klaasen,SRH,51.7,51.7,-
Faf du Plessis,RCB,45.15,45.15,-
Abdul Samad,SRH,41.09,41.09,-
Pat Cummins,SRH,35.2,-,35.2
Lockie Ferguson,RCB,34.71,-,34.71
Virat Kohli,RCB,30.17,30.17,-
Mayank Markande,SRH,28.94,-,28.94
Will Jacks,RCB,24.81,3.58,21.23
Aiden Markram,SRH,20.52,20.52,-
Abhishek Sharma,SRH,16.33,13.85,2.47
T Natarajan,SRH,14.23,-,14.23
Anuj Rawat,RCB,13.7,13.7,-
Yash Dayal,RCB,7.83,-,7.83
Mahipal Lomror,RCB,6.87,9.52,- 2.65
Reece Topley,RCB,5.79,-,5.79
Rajat Patidar,RCB,4.81,4.81,-
Nitish Kumar Reddy,SRH,-,-,-
Saurav Chauhan,RCB,- 1.44,- 1.44,-
Shahbaz Ahmed,SRH,- 3.42,-,- 3.42
Vijaykumar Vyshak,RCB,- 4.17,0.11,- 4.29
Bhuvneshwar Kumar,SRH,- 5.35,-,- 5.35
Jaydev Unadkat,SRH,- 7.41,-,- 7.41
