Player,Team,TI,B. Impact,Bo. Impact
Nitish Kumar Reddy,SRH,116.56,92.46,24.1
Arshdeep Singh,PBKS,102.23,-,102.23
Bhuvneshwar Kumar,SRH,79.03,- 0.63,79.66
Harshal Patel,PBKS,67.7,-,67.7
Pat Cummins,SRH,66.15,- 1.45,67.6
Shashank Singh,PBKS,52.86,52.86,-
Sam Curran,PBKS,52.56,26.99,25.57
Ashutosh Sharma,PBKS,50.86,50.86,-
Abdul Samad,SRH,41.17,41.17,-
T Natarajan,SRH,35.89,-,35.89
Jaydev Unadkat,SRH,32.75,14.3,18.45
Kagiso Rabada,PBKS,27.5,-,27.5
Jitesh Sharma,PBKS,24.74,24.74,-
Sikandar Raza,PBKS,23.76,23.76,-
Travis Head,SRH,22.13,22.13,-
Shahbaz Ahmed,SRH,20.76,21.13,- 0.37
Abhishek Sharma,SRH,17.16,17.16,-
Shikhar Dhawan,PBKS,0.24,0.24,-
Heinrich Klaasen,SRH,- 0.32,- 0.32,-
Prabhsimran Singh,PBKS,- 3.32,- 3.32,-
Rahul Tripathi,SRH,- 3.57,- 3.57,-
Aiden Markram,SRH,- 4.05,- 4.05,-
Jonny Bairstow,PBKS,- 8.13,- 8.13,-
Harpreet Brar,PBKS,- 12.94,-,- 12.94
