Player,Team,TI,B. Impact,Bo. Impact
Kuldeep Yadav,DC,115.77,-,115.77
Ayush Badoni,LSG,68.24,68.24,-
Jake Fraser-McGurk,DC,54.93,54.93,-
Ravi Bishnoi,LSG,53.77,-,53.77
KL Rahul,LSG,51.26,51.26,-
Khaleel Ahmed,DC,51.18,-,51.18
Rishabh Pant,DC,49.36,49.36,-
Yash Thakur,LSG,41.72,-,41.72
Prithvi Shaw,DC,36.83,36.83,-
Ishant Sharma,DC,22.63,-,22.63
Quinton de Kock,LSG,20.16,20.16,-
Naveen-ul-Haq,LSG,16.8,-,16.8
Axar Patel,DC,15.84,-,15.84
Arshad Khan,LSG,14.76,15.91,- 1.15
Tristan Stubbs,DC,13.39,13.39,-
Mukesh Kumar,DC,10.76,-,10.76
Shai Hope,DC,6.32,6.32,-
David Warner,DC,0.98,0.98,-
Abishek Porel,DC,-,-,-
Marcus Stoinis,LSG,- 0.98,- 1.37,0.39
Nicholas Pooran,LSG,- 2.31,- 2.31,-
Deepak Hooda,LSG,- 3.71,- 3.71,-
Devdutt Padikkal,LSG,- 5.35,- 5.35,-
Krunal Pandya,LSG,- 20.14,- 0.92,- 19.21
