Player,Team,TI,B. Impact,Bo. Impact
Virat Kohli,RCB,104.99,104.99,-
Rajat Patidar,RCB,93.5,93.5,-
Rilee Rossouw,PBKS,90.99,90.99,-
Vidwath Kaverappa,PBKS,84.82,-,84.82
Harshal Patel,PBKS,55.93,- 0.47,56.39
Swapnil Singh,RCB,50.72,- 1.02,51.73
Karn Sharma,RCB,49.83,-,49.83
Shashank Singh,PBKS,37.3,37.3,-
Lockie Ferguson,RCB,37.21,-,37.21
Arshdeep Singh,PBKS,28.16,2.67,25.49
Jonny Bairstow,PBKS,26.74,26.74,-
Dinesh Karthik,RCB,25.8,25.8,-
Cameron Green,RCB,25.12,29.92,- 4.8
Will Jacks,RCB,23.51,12.63,10.88
Mohammed Siraj,RCB,20.85,-,20.85
Sam Curran,PBKS,17.26,9.36,7.9
Liam Livingstone,PBKS,12.75,- 5.87,18.62
Yash Dayal,RCB,5.71,-,5.71
Ashutosh Sharma,PBKS,4.77,4.77,-
Prabhsimran Singh,PBKS,3.99,3.99,-
Faf du Plessis,RCB,3.24,3.24,-
Jitesh Sharma,PBKS,0.77,0.77,-
Rahul Chahar,PBKS,- 2.15,2.99,- 5.14
Mahipal Lomror,RCB,- 7.68,- 7.68,-
